row,technology,predicted,derived,override,decision_source,candidates,label,jira_title,ips_title,text_used
763,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,WLAN YB issue on MP build,WLAN YB issue on MP build
764,,YB/Lost,YB/Lost,,cue,"YB/Lost, BSOD, Connectivity",,,P2P Pairing Failure (Assert 0x20100730) After Provisioning,P2P Pairing Failure (Assert 0x20100730) After Provisioning
765,,Connectivity,Needs-Triage,,fallback,,,,No Reply to 3rd message during EAP 4-way HS.,No Reply to 3rd message during EAP 4-way HS.
766,,Connectivity,Needs-Triage,,fallback,,,,No Reply to 3rd message during EAP 4-way HS.,No Reply to 3rd message during EAP 4-way HS.
767,,Connectivity,Needs-Triage,,fallback,,,,[HONOR][HUAQIN][WCL][AX211][2230&1216][LvzhouD][[EVT][Schematic][#1],[HONOR][HUAQIN][WCL][AX211][2230&1216][LvzhouD][[EVT][Schematic][#1]
768,,Connectivity,Connectivity,,cue,Connectivity,,,BT device lost during reboot stress test. - External Exception  ( Door Bell Ack fail),BT device lost during reboot stress test. - External Exception  ( Door Bell Ack fail)
769,,YB/Lost,YB/Lost,YB/Lost,override,"Connectivity, YB/Lost",,,BE211 BT YB issue is suspected to be caused by Wi-Fi x121E assertion.,BE211 BT YB issue is suspected to be caused by Wi-Fi x121E assertion.
770,,ICPS,Needs-Triage,,fallback,,,Latitude 5350  | Wi-Fi icon disapear after resuming from S4 when use Trend Micro security software,Sometimes ICPS UI automatically displays after restart,Latitude 5350  | Wi-Fi icon disapear after resuming from S4 when use Trend Micro security software
771,,Connectivity,YB/Lost,,cue,"YB/Lost, BSOD, OEM Tools",,DRTU 2.4GHz testing 100% on 4/11 DUT not work with 23.165 assert 0x2010121E,"BT LE headphone shows ""connected mic, audio"" without ""L&R"" side in Settings/Bluetooth&Devices when pair BT LE headphone with unit.(AX211)",DRTU 2.4GHz testing 100% on 4/11 DUT not work with 23.165 assert 0x2010121E
772,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,"BT 100% YB on Renegade MLK platform factory build ( YB code 43, 31, 10)","BT 100% YB on Renegade MLK platform factory build ( YB code 43, 31, 10)"
773,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,Machu14W/16W MV report WLAN YB or Missing,Machu14W/16W MV report WLAN YB or Missing
774,,Connectivity,OEM Tools,OEM Tools,override,OEM Tools,,Wi-Fi sinewave function of DRTU tool is not working (BE211 QS),BR headset test no microphone function,Wi-Fi sinewave function of DRTU tool is not working (BE211 QS)
775,,Connectivity,Connectivity,,cue,Connectivity,,,BT device yellow bar (error code 31during idle test (Fail rate1/2 u),BT device yellow bar (error code 31during idle test (Fail rate1/2 u)
776,,ICPS,ICPS,ICPS,override,"Connectivity, ICPS",,,[Dell][Wistron][Ghostrider14/16 PTL][ICPS connection state of BT isnt updated],[Dell][Wistron][Ghostrider14/16 PTL][ICPS connection state of BT isnt updated]
777,,Connectivity,Connectivity,,cue,Connectivity,,,"BE200 Connect to a WIFI7 Router, Protocol shows Wi-Fi 6 (802.11ax)","BE200 Connect to a WIFI7 Router, Protocol shows Wi-Fi 6 (802.11ax)"
778,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,WLAN lost and showed YB during Prime95k with WIFI connected.(BE201),WLAN lost and showed YB during Prime95k with WIFI connected.(BE201)
779,,System Hang,System Hang,,cue,System Hang,,,BLE data exchanged times in a connection interval,BLE data exchanged times in a connection interval
780,,Connectivity,Needs-Triage,,fallback,,,,[Lenovo/Consumer][HQ][PTL-H] [BE211\BE213] [C711][EVT][Layout][#2],[Lenovo/Consumer][HQ][PTL-H] [BE211\BE213] [C711][EVT][Layout][#2]
781,,Connectivity,YB/Lost,,cue,"YB/Lost, BSOD, Connectivity",,P2P Pairing Failure (Assert 0x20100730) After Provisioning,The audio switching from the system to the Bluetooth headset is delayed ~20s after headset reconnection(F/R:1/10),P2P Pairing Failure (Assert 0x20100730) After Provisioning
782,,Connectivity,Connectivity,,cue,Connectivity,,,6GHz band SSID detection behavior of each driver version,6GHz band SSID detection behavior of each driver version
783,,Connectivity,Connectivity,,cue,Connectivity,,,WIFI Connect issue on Ubuntu,WIFI Connect issue on Ubuntu
784,,YB/Lost,YB/Lost,,cue,"YB/Lost, BSOD, Connectivity",,,The WLNA/BT lost(Assert 0x20100505) and then auto recover during CB stress test(F/R: 3/10 DUTs; 3/3000 Cycles),The WLNA/BT lost(Assert 0x20100505) and then auto recover during CB stress test(F/R: 3/10 DUTs; 3/3000 Cycles)
785,,Connectivity,Connectivity,,cue,Connectivity,,BT device lost during reboot stress test. - External Exception  ( Door Bell Ack fail),"After 2 mins, the P2P PC sends a deauth to pad",BT device lost during reboot stress test. - External Exception  ( Door Bell Ack fail)
786,,UEFI,YB/Lost,YB/Lost,override,"Connectivity, YB/Lost",,BE211 BT YB issue is suspected to be caused by Wi-Fi x121E assertion.,UEFI Wi-Fi no function.,BE211 BT YB issue is suspected to be caused by Wi-Fi x121E assertion.
787,,Connectivity,Connectivity,,cue,"Connectivity, RF",,,BT PPAG ENABLE,BT PPAG ENABLE
788,,OEM Tools,OEM Tools,OEM Tools,override,OEM Tools,,,CITU Connection Error,CITU Connection Error
789,,Performance,YB/Lost,,cue,"YB/Lost, Connectivity",,"BT 100% YB on Renegade MLK platform factory build ( YB code 43, 31, 10)",External monitor video lagging,"BT 100% YB on Renegade MLK platform factory build ( YB code 43, 31, 10)"
790,,BSOD,YB/Lost,,cue,"YB/Lost, Connectivity",,Machu14W/16W MV report WLAN YB or Missing,BSOD_0x1E after resume from MS,Machu14W/16W MV report WLAN YB or Missing
791,,BSOD,BSOD,,cue,BSOD,,,BSOD 0x133 when Benchmark stress test,BSOD 0x133 when Benchmark stress test
792,,Connectivity,Connectivity,,cue,Connectivity,,,"SystemEvent log show error ID_5 after connect the BT MS&KB&Hedset devices, FR: 1/1Unit, 3/3Cycles","SystemEvent log show error ID_5 after connect the BT MS&KB&Hedset devices, FR: 1/1Unit, 3/3Cycles"
793,,Connectivity,Connectivity,,cue,Connectivity,,,Sonya12 WIFI layout check,Sonya12 WIFI layout check
794,,ICPS,ICPS,ICPS,override,ICPS,,,ICPS cannot restore default settings through the reset button,ICPS cannot restore default settings through the reset button
795,,BSOD,BSOD,,cue,"BSOD, Connectivity",,,ibtpci BSOD 0x7e while running TBT test (Thunderbolt test).,ibtpci BSOD 0x7e while running TBT test (Thunderbolt test).
796,,Connectivity,YB/Lost,,cue,"YB/Lost, Connectivity",,WLAN lost and showed YB during Prime95k with WIFI connected.(BE201),wlan shows yellow mark during restart stress (FR: 1/39 cycles),WLAN lost and showed YB during Prime95k with WIFI connected.(BE201)
797,,ICPS,ICPS,ICPS,override,"Power Consumption, OEM Tools, ICPS",,,ICPS cant start automatically when device is powered on from S5,ICPS cant start automatically when device is powered on from S5
798,,OEM Tools,OEM Tools,OEM Tools,override,"Connectivity, OEM Tools",,,BE211 cant connect to WiFi AP in OWE mode with ANT tool,BE211 cant connect to WiFi AP in OWE mode with ANT tool
799,,System Hang,Connectivity,,cue,Connectivity,,The audio switching from the system to the Bluetooth headset is delayed ~20s after headset reconnection(F/R:1/10),wifi tx stuck & ping timeout when doing ms test,The audio switching from the system to the Bluetooth headset is delayed ~20s after headset reconnection(F/R:1/10)
800,,ICPS,ICPS,ICPS,override,ICPS,,,Failure occurs when running Live Inspect with Narrators Accessibility in ICPS app.,Failure occurs when running Live Inspect with Narrators Accessibility in ICPS app.
801,,Performance,Needs-Triage,,fallback,,,,"High CPU utilization (10-15%) in idle S0 state, exceeding spec limit (<5%)(F/R: 2/5 UUTs, 2/5 Cycles)","High CPU utilization (10-15%) in idle S0 state, exceeding spec limit (<5%)(F/R: 2/5 UUTs, 2/5 Cycles)"
802,,ICPS,ICPS,ICPS,override,ICPS,,,"When Accessibility->Text size is set to 200%, the prompt window that appears when launching ICPS is not fully displayed.","When Accessibility->Text size is set to 200%, the prompt window that appears when launching ICPS is not fully displayed."
803,,Killer,YB/Lost,,cue,"YB/Lost, BSOD, Connectivity",,The WLNA/BT lost(Assert 0x20100505) and then auto recover during CB stress test(F/R: 3/10 DUTs; 3/3000 Cycles),"selecting the ""Desert"" theme, the version number in the upper right corner of the Intel Connectivity Performance Suite window is not clearly visible.",The WLNA/BT lost(Assert 0x20100505) and then auto recover during CB stress test(F/R: 3/10 DUTs; 3/3000 Cycles)
804,,ICPS,ICPS,ICPS,override,ICPS,,,Failure occurs when running Live Inspect test in ICPS app,Failure occurs when running Live Inspect test in ICPS app
805,,Connectivity,OEM Tools,OEM Tools,override,"Connectivity, OEM Tools",,,Debugging the antenna performance parameters of the WIFI Sensor waking up the PC under MS,Debugging the antenna performance parameters of the WIFI Sensor waking up the PC under MS
806,,Power Consumption,Power Consumption,,cue,"Power Consumption, Connectivity",,,"Single Project Dramatic Performance Drop upon DC ""Best Power Efficiency"" Mode","Single Project Dramatic Performance Drop upon DC ""Best Power Efficiency"" Mode"
807,,Connectivity,Needs-Triage,,fallback,,,,SIP127910 - EB 8 G1i (Machu14N) / Open Polytechnic / GA / Intel(R) Wi-Fi 7 BE201 issue when using certificate authentication using windows NPS / PC APJ / NZ,SIP127910 - EB 8 G1i (Machu14N) / Open Polytechnic / GA / Intel(R) Wi-Fi 7 BE201 issue when using certificate authentication using windows NPS / PC APJ / NZ
808,,Power Consumption,Power Consumption,,cue,Power Consumption,,,Can not connect to Wi-Fi 6G hot spot,Can not connect to Wi-Fi 6G hot spot
809,,YB/Lost,YB/Lost,YB/Lost,override,"Connectivity, YB/Lost",,,WiFi 5002 assert and abnormal disc,WiFi 5002 assert and abnormal disc
810,,Connectivity,BSOD,,cue,BSOD,,BSOD_0x1E after resume from MS,Wi-Fi adapter failed to send data within the expected time,BSOD_0x1E after resume from MS
811,,Connectivity,Connectivity,,cue,Connectivity,,,wifi suddenly cannot search any HB AP until radio off/on manually,wifi suddenly cannot search any HB AP until radio off/on manually
812,,OEM Tools,RF,RF,override,"RF, OEM Tools",,,BE213 Sartable set fail with Ant tool,BE213 Sartable set fail with Ant tool
813,,Connectivity,Needs-Triage,,fallback,,,,System 25H2 Modern standby fail,System 25H2 Modern standby fail
814,,YB/Lost,YB/Lost,YB/Lost,override,"Connectivity, YB/Lost",,,wifi showed asserts & cannot connect AP in awhile,wifi showed asserts & cannot connect AP in awhile
815,,Connectivity,BSOD,,cue,"BSOD, Connectivity",,ibtpci BSOD 0x7e while running TBT test (Thunderbolt test).,"WLAN sometimes do not show 2 MLO links but only 1 link with the command ""netsh wlan show i"" after MLO AP is connected (F/R: 3/10)",ibtpci BSOD 0x7e while running TBT test (Thunderbolt test).
816,,Connectivity,Connectivity,,cue,Connectivity,,wlan shows yellow mark during restart stress (FR: 1/39 cycles),X6PT47TJ Layout review for M.2 WIFI module,wlan shows yellow mark during restart stress (FR: 1/39 cycles)
817,,Connectivity,ICPS,ICPS,override,"Power Consumption, OEM Tools, ICPS",,ICPS cant start automatically when device is powered on from S5,BIOS tool unable to read the BT PPAG (Intel BE211),ICPS cant start automatically when device is powered on from S5
818,,YB/Lost,OEM Tools,OEM Tools,override,"Connectivity, OEM Tools",,BE211 cant connect to WiFi AP in OWE mode with ANT tool,Factory build stress test - Burnin/3D Mark test BT YB,BE211 cant connect to WiFi AP in OWE mode with ANT tool
819,,Connectivity,Connectivity,,cue,Connectivity,,,no MLO connection as associating with Asus RT-BE92u,no MLO connection as associating with Asus RT-BE92u
820,,Connectivity,ICPS,ICPS,override,ICPS,,Failure occurs when running Live Inspect with Narrators Accessibility in ICPS app.,"[HP][HQ][Graham][BE211][25H2][SI]The units not find ""DMA reapplication policy"" option after open Device Manager and click on WLAN adapter ->Details tab ->Property.[4 out of 4 units, 4 out of 4 times]",Failure occurs when running Live Inspect with Narrators Accessibility in ICPS app.
821,,Connectivity,Connectivity,,cue,"Connectivity, Performance",,,The speed of the Wlan 5G band will decrease after waking up from RS when test wh,The speed of the Wlan 5G band will decrease after waking up from RS when test wh
822,,Connectivity,ICPS,ICPS,override,ICPS,,"When Accessibility->Text size is set to 200%, the prompt window that appears when launching ICPS is not fully displayed.",WiFi 6 Ghz can not be detected or connected when the channel is at 101/149/213.,"When Accessibility->Text size is set to 200%, the prompt window that appears when launching ICPS is not fully displayed."
823,,YB/Lost,Needs-Triage,,fallback,,,"selecting the ""Desert"" theme, the version number in the upper right corner of the Intel Connectivity Performance Suite window is not clearly visible.",BE201 device lost when doing s0i3 resume test,"selecting the ""Desert"" theme, the version number in the upper right corner of the Intel Connectivity Performance Suite window is not clearly visible."
824,,Connectivity,ICPS,ICPS,override,ICPS,,Failure occurs when running Live Inspect test in ICPS app,Connection Issue with MRU Test AP (ASUS),Failure occurs when running Live Inspect test in ICPS app
825,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,The Intel(R) Wireless Bluetooth(R) and Intel(R) WIFI-6E AZ211 160Mhz show YB(Code:10) in Device Manager after click test in Sound/Headphone/Headphone Properties/Advanced.,The Intel(R) Wireless Bluetooth(R) and Intel(R) WIFI-6E AZ211 160Mhz show YB(Code:10) in Device Manager after click test in Sound/Headphone/Headphone Properties/Advanced.
826,,Power Consumption,Power Consumption,,cue,"Power Consumption, Connectivity",,"Single Project Dramatic Performance Drop upon DC ""Best Power Efficiency"" Mode",The system cannot scan for the 6GHz mobile Hotspot (VLP).,"Single Project Dramatic Performance Drop upon DC ""Best Power Efficiency"" Mode"
827,,BSOD,BSOD,,cue,"BSOD, Connectivity",,,Intel BE201 Bluetooth occur BSOD 0x9F when Runin test with CGTT-TATSTRESS-180MINS.,Intel BE201 Bluetooth occur BSOD 0x9F when Runin test with CGTT-TATSTRESS-180MINS.
828,,Performance,Power Consumption,,cue,Power Consumption,,Can not connect to Wi-Fi 6G hot spot,Conductive TPT test fail,Can not connect to Wi-Fi 6G hot spot
829,,YB/Lost,YB/Lost,YB/Lost,override,"Connectivity, YB/Lost",,WiFi 5002 assert and abnormal disc,BE201 PLDR happens after s0i3 at 0 degree,WiFi 5002 assert and abnormal disc
830,,BSOD,BSOD,,cue,"BSOD, Connectivity",,,"UUT appears BSOD (0X7e) under OS, pointing to (BE211) ibtpci.sys. (FR: 1/3 unit, 1/30 cycles)","UUT appears BSOD (0X7e) under OS, pointing to (BE211) ibtpci.sys. (FR: 1/3 unit, 1/30 cycles)"
831,,Connectivity,Connectivity,,cue,Connectivity,,wifi suddenly cannot search any HB AP until radio off/on manually,"UUT appears (BE211)WiFi/BT Device lost, event log error code is 5055, when idle or when refreshing the WiFi list.(FR: 2/4 unit ,20/40cycles)",wifi suddenly cannot search any HB AP until radio off/on manually
832,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,Intel WIFI will show Yellow bang after using for a while.,Intel WIFI will show Yellow bang after using for a while.
833,,Connectivity,Connectivity,,cue,Connectivity,,,"UUT appears WiFi BT card missing, eventvwr log error code 5055, when idle or when refreshing the WiFi list.(FR: 2/4 unit ,20/40cycles)","UUT appears WiFi BT card missing, eventvwr log error code 5055, when idle or when refreshing the WiFi list.(FR: 2/4 unit ,20/40cycles)"
834,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,Renegade MLK platform factory build encountered BE211 WLAN YB issue (code,Renegade MLK platform factory build encountered BE211 WLAN YB issue (code
835,,OEM Tools,Connectivity,,cue,Connectivity,,"WLAN sometimes do not show 2 MLO links but only 1 link with the command ""netsh wlan show i"" after MLO AP is connected (F/R: 3/10)",DRTUClient fails to connect using command line interface,"WLAN sometimes do not show 2 MLO links but only 1 link with the command ""netsh wlan show i"" after MLO AP is connected (F/R: 3/10)"
836,,Connectivity,Connectivity,,cue,Connectivity,,,"install WLAN driver via DUP, UI shows error but driver install properly","install WLAN driver via DUP, UI shows error but driver install properly"
837,,BSOD,BSOD,,cue,"BSOD, Connectivity",,,UUT appears BSOD (0X7e) point to ibtpci.sys when enter OS,UUT appears BSOD (0X7e) point to ibtpci.sys when enter OS
838,,Power Consumption,Power Consumption,,cue,Power Consumption,,,Intel_Tools_Installer failure installation when the battery level is 30%,Intel_Tools_Installer failure installation when the battery level is 30%
839,,Connectivity,Connectivity,,cue,Connectivity,,no MLO connection as associating with Asus RT-BE92u,Bluetooth disconnected when play audio,no MLO connection as associating with Asus RT-BE92u
840,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,Bluetooth YB while doing MS/WB Stress test,Bluetooth YB while doing MS/WB Stress test
841,,Power Consumption,Power Consumption,,cue,Power Consumption,,,Hotspot Client Cannot Access Internet,Hotspot Client Cannot Access Internet
842,,Performance,Performance,,cue,Performance,,,PC scan Speaker slowly with 100% duty,PC scan Speaker slowly with 100% duty
843,,Connectivity,Connectivity,,cue,Connectivity,,,Intel(R) Wireless Bluetooth(R) lost during S4 Stress,Intel(R) Wireless Bluetooth(R) lost during S4 Stress
844,,Connectivity,Connectivity,,cue,Connectivity,,,Miracast Connecting Failure from end user.,Miracast Connecting Failure from end user.
845,,YB/Lost,YB/Lost,,cue,YB/Lost,,,BE200 YB after S4 resume,BE200 YB after S4 resume
846,,Connectivity,Needs-Triage,,fallback,,,,PC connect Android by ble failed,PC connect Android by ble failed
847,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,WLAN show YB on DeviceManager and event log show error by run S4 stress,WLAN show YB on DeviceManager and event log show error by run S4 stress
848,,Connectivity,Connectivity,,cue,Connectivity,,,Google Pixel Buds Pro 2 LE Audio connection and Initial pairing issue,Google Pixel Buds Pro 2 LE Audio connection and Initial pairing issue
849,,Connectivity,Connectivity,,cue,Connectivity,,,P2P client(BE201) unexpectedly disconnected from GO(Phone) due to no BA for a long time,P2P client(BE201) unexpectedly disconnected from GO(Phone) due to no BA for a long time
850,,YB/Lost,YB/Lost,,cue,"YB/Lost, BSOD, Connectivity",,,WLAN YB during MFG testing -- 0x5055dead -- 0x508,WLAN YB during MFG testing -- 0x5055dead -- 0x508
851,,ICPS,ICPS,ICPS,override,"YB/Lost, RF, ICPS",,,ICPS icon does not appear at the lower right corner of the taskbar after resuming from Hybrid shutdown,ICPS icon does not appear at the lower right corner of the taskbar after resuming from Hybrid shutdown
852,,Connectivity,YB/Lost,,cue,"YB/Lost, Connectivity",,Intel WIFI will show Yellow bang after using for a while.,BE200MIC,Intel WIFI will show Yellow bang after using for a while.
853,,OEM Tools,OEM Tools,OEM Tools,override,"Power Consumption, RF, OEM Tools",,,DRTU 2.4GHz tx power is low,DRTU 2.4GHz tx power is low
854,,RF,Needs-Triage,,fallback,,,,BE211 conductive T-PUT Rx is unexpected.,BE211 conductive T-PUT Rx is unexpected.
855,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,Intel Bluetooth Device displays yellow bang when running STPM_HBS.,Intel Bluetooth Device displays yellow bang when running STPM_HBS.
856,,BSOD,Connectivity,,cue,Connectivity,,"install WLAN driver via DUP, UI shows error but driver install properly",25H2 FVT1.01:System occurred BSOD 0x101( No dump file; Stop Code: CLOCK_WATCHDOG_TIMEOUT ) when connect Wi-Fi during desktop,"install WLAN driver via DUP, UI shows error but driver install properly"
857,,Connectivity,Connectivity,,cue,Connectivity,,,"Intel BE200 WLAN units do not display Wi-Fi7 mode after AP switching from 802.11ax to Wi-Fi7 when connect to 6GHz.(F/R:2/2 units,10/10 cycles)","Intel BE200 WLAN units do not display Wi-Fi7 mode after AP switching from 802.11ax to Wi-Fi7 when connect to 6GHz.(F/R:2/2 units,10/10 cycles)"
858,,BSOD,BSOD,,cue,"BSOD, Connectivity",,,"Field issue report of WLAN fail to start, 3 customers, 3  Thames, and 7 Mersey -- 0x20104009 --0x20100508","Field issue report of WLAN fail to start, 3 customers, 3  Thames, and 7 Mersey -- 0x20104009 --0x20100508"
859,,System Hang,System Hang,,cue,System Hang,,,Disappear Wi-Fi just after wireless mode change a/b/g to b/g,Disappear Wi-Fi just after wireless mode change a/b/g to b/g
860,,Killer,Needs-Triage,,fallback,,,,Critical and High vulnerabilities on SQLITE3 v3.42.0,Critical and High vulnerabilities on SQLITE3 v3.42.0
861,,ICPS,ICPS,ICPS,override,"RF, ICPS",,,ICPS Scheduled Task RNIdle left over after uninstallation,ICPS Scheduled Task RNIdle left over after uninstallation
862,,YB/Lost,YB/Lost,,cue,"YB/Lost, BSOD, Connectivity",,,CashmereI SI-R build report WLAN missing and YB Code 10 0x20100505,CashmereI SI-R build report WLAN missing and YB Code 10 0x20100505
863,,Connectivity,Needs-Triage,,fallback,,,,PC has delay to receives fragment from Quich share app,PC has delay to receives fragment from Quich share app
864,,Power Consumption,Power Consumption,,cue,"Power Consumption, Connectivity",,,BT ext driver lost after PC resume from sleep,BT ext driver lost after PC resume from sleep
865,,YB/Lost,YB/Lost,,cue,YB/Lost,,BE200 YB after S4 resume,WiFi disconnect and re-connected several times then show YB after connect to a specific AP,BE200 YB after S4 resume
866,,Performance,Needs-Triage,,fallback,,,,-AX211 TX Tput is limited to 900 Mbps on Mentali_HX when DMAr is enabled,-AX211 TX Tput is limited to 900 Mbps on Mentali_HX when DMAr is enabled
867,,Connectivity,YB/Lost,,cue,"YB/Lost, Connectivity",,WLAN show YB on DeviceManager and event log show error by run S4 stress,", PC20.",WLAN show YB on DeviceManager and event log show error by run S4 stress
868,,Killer,Connectivity,,cue,Connectivity,,Google Pixel Buds Pro 2 LE Audio connection and Initial pairing issue,Prioritization Mode Selector has no response after resuming from Modern standby,Google Pixel Buds Pro 2 LE Audio connection and Initial pairing issue
869,,UEFI,Connectivity,,cue,Connectivity,,P2P client(BE201) unexpectedly disconnected from GO(Phone) due to no BA for a long time,about DRS is enable or not with JP VLP setting,P2P client(BE201) unexpectedly disconnected from GO(Phone) due to no BA for a long time
870,,YB/Lost,YB/Lost,,cue,"YB/Lost, BSOD, Connectivity",,WLAN YB during MFG testing -- 0x5055dead -- 0x508,"BT occurred YB when doing S4/FB Stress, 9/20units, 13/4000cycles",WLAN YB during MFG testing -- 0x5055dead -- 0x508
871,,BSOD,ICPS,ICPS,override,"YB/Lost, RF, ICPS",,ICPS icon does not appear at the lower right corner of the taskbar after resuming from Hybrid shutdown,"BSOD 0x9F (point to Netwaw18) when reboot(1/2 UUTs, 1/20 Cycles)",ICPS icon does not appear at the lower right corner of the taskbar after resuming from Hybrid shutdown
872,,YB/Lost,YB/Lost,YB/Lost,override,YB/Lost,,,"Alway occurr 5002/5010 error when doing S4/FB Stress test, FR: 5/5Units, 100/100Cycles.","Alway occurr 5002/5010 error when doing S4/FB Stress test, FR: 5/5Units, 100/100Cycles."
873,,Killer,Needs-Triage,,fallback,,,,"Memory leak on IntelConnect.exe process, memory can not free","Memory leak on IntelConnect.exe process, memory can not free"
874,,Connectivity,Needs-Triage,,fallback,,,,Unit can search and connect to restrictions channel in ABJ image.(Intel BE200/Intel BE211),Unit can search and connect to restrictions channel in ABJ image.(Intel BE200/Intel BE211)
875,,Killer,Needs-Triage,,fallback,,,,App crash(IntelConnectivityNetworkService) occurs.,App crash(IntelConnectivityNetworkService) occurs.
876,,Connectivity,Needs-Triage,,fallback,,,,Ping test failed,Ping test failed
877,,Connectivity,Connectivity,,cue,Connectivity,,"Intel BE200 WLAN units do not display Wi-Fi7 mode after AP switching from 802.11ax to Wi-Fi7 when connect to 6GHz.(F/R:2/2 units,10/10 cycles)",Miracast Connection Failure,"Intel BE200 WLAN units do not display Wi-Fi7 mode after AP switching from 802.11ax to Wi-Fi7 when connect to 6GHz.(F/R:2/2 units,10/10 cycles)"
878,,ICPS,BSOD,,cue,"BSOD, Connectivity",,"Field issue report of WLAN fail to start, 3 customers, 3  Thames, and 7 Mersey -- 0x20104009 --0x20100508",PHM test result is various depends on ICPS package version,"Field issue report of WLAN fail to start, 3 customers, 3  Thames, and 7 Mersey -- 0x20104009 --0x20100508"
879,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,BE213 WLAN card idle appeared Bluetooth YB overnight. (FR: 1/5 unit),BE213 WLAN card idle appeared Bluetooth YB overnight. (FR: 1/5 unit)
880,,ICPS,Needs-Triage,,fallback,,,Critical and High vulnerabilities on SQLITE3 v3.42.0,Roaming frequently during Teams meetings when ICPS is installed,Critical and High vulnerabilities on SQLITE3 v3.42.0
881,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,BT show YB(code 31) during MS  stress.FR:1/4UUTs,BT show YB(code 31) during MS  stress.FR:1/4UUTs
882,,HLK,YB/Lost,,cue,"YB/Lost, BSOD, Connectivity",,CashmereI SI-R build report WLAN missing and YB Code 10 0x20100505,"HLK-Bluetooth - HciExtensionsV2 (Development and Integration) test fail, 2/2Unit",CashmereI SI-R build report WLAN missing and YB Code 10 0x20100505
883,,YB/Lost,YB/Lost,,cue,YB/Lost,,,BE201 YB  after S0i3 at 0 degree C Test,BE201 YB  after S0i3 at 0 degree C Test
884,,Connectivity,Connectivity,,cue,Connectivity,,,field issue that customer has roaming issue with CISCO AP(Japan),field issue that customer has roaming issue with CISCO AP(Japan)
885,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,Intel BT PCIE shows device YB code 43 during S4 resume.,Intel BT PCIE shows device YB code 43 during S4 resume.
886,,Connectivity,Needs-Triage,,fallback,,,-AX211 TX Tput is limited to 900 Mbps on Mentali_HX when DMAr is enabled,BE200NGW - Driver setup issue,-AX211 TX Tput is limited to 900 Mbps on Mentali_HX when DMAr is enabled
887,,Power Consumption,Power Consumption,,cue,"Power Consumption, Connectivity",,,"BT mouse button lost function after power off/on BT devices(MS/KB/headset).(F/R:2/2 units,3/10ycles)","BT mouse button lost function after power off/on BT devices(MS/KB/headset).(F/R:2/2 units,3/10ycles)"
888,,BSOD,System Hang,,cue,System Hang,,Prioritization Mode Selector has no response after resuming from Modern standby,"Occurred 0x50 BSOD when remove BT device, FR: 2/2Units, 1/2cycles",Prioritization Mode Selector has no response after resuming from Modern standby
889,,Connectivity,Connectivity,,cue,Connectivity,,,BT play music error,BT play music error
890,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,WLAN YB & BT lost (auto recover several times but finally YB) when idle or playing online video. (FR:4/12UUTs),WLAN YB & BT lost (auto recover several times but finally YB) when idle or playing online video. (FR:4/12UUTs)
891,,Power Consumption,OEM Tools,OEM Tools,override,"Power Consumption, OEM Tools",,,"LAN share hotspot , other PC cant connect","LAN share hotspot , other PC cant connect"
892,,BSOD,BSOD,,cue,BSOD,,"BSOD 0x9F (point to Netwaw18) when reboot(1/2 UUTs, 1/20 Cycles)",LAN share hotspot happen 0XD1 BSOD,"BSOD 0x9F (point to Netwaw18) when reboot(1/2 UUTs, 1/20 Cycles)"
893,,Connectivity,YB/Lost,YB/Lost,override,YB/Lost,,"Alway occurr 5002/5010 error when doing S4/FB Stress test, FR: 5/5Units, 100/100Cycles.",BLE launch failure on PTL Platforms with BE211 Module,"Alway occurr 5002/5010 error when doing S4/FB Stress test, FR: 5/5Units, 100/100Cycles."
894,,BSOD,BSOD,,cue,BSOD,,,"BSoD point to ""0x9F_3_IMAGE_Netwtw14.sys"" from MSFT never crash","BSoD point to ""0x9F_3_IMAGE_Netwtw14.sys"" from MSFT never crash"
895,,Connectivity,Connectivity,,cue,Connectivity,,,WLAN Schematic review,WLAN Schematic review
896,,HLK,Needs-Triage,,fallback,,,App crash(IntelConnectivityNetworkService) occurs.,25H2 HLK test fail - Bluetooth - LEExtendedAdvertising (Development and Integration),App crash(IntelConnectivityNetworkService) occurs.
897,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,Simultaneous YB on WLAN and BT,Simultaneous YB on WLAN and BT
898,,Connectivity,Connectivity,,cue,Connectivity,,,WLAN Layout review,WLAN Layout review
