issue_key,ips_case_number,jira_title,created_date,bug_project,bug_category_custom,technology,technology_key,ips_title,predicted_category,confidence,reasoning,raw_response
977715,977715,,2025-09-18,WIFI,,WiFi,wifi,Event log shows Netwnw18 5005 & 5002 error,YB/Lost,1.0,Hard override matched phrase '5002',rule
977713,977713,,2025-09-18,BT,,Bluetooth,bt,Bluetooth device lost during WB Stress test,Connectivity,1.0,Rule-based match via cues (score 1),rule
977699,977699,,2025-09-18,WIFI,,WiFi,wifi,Ax210 and BE200 for link speed down,Connectivity,1.0,Rule-based match via cues (score 1),rule
977578,977578,,2025-09-17,WIFI,,WiFi,wifi,BE213 of ES2 havent Ethernet 5G  share hotsport function,Power Consumption,1.0,Rule-based match via cues (score 1),rule
977576,977576,,2025-09-17,WIFI,,WiFi,wifi,USB headset is not recognized in Windows 11 23H2 & 24H2 during Teams meeting with/without YB in device manager,YB/Lost,1.0,Rule-based match via cues (score 1),rule
977562,977562,,2025-09-17,WIFI,,WiFi,wifi,The wifi device show yellow bang or lose under OS.,YB/Lost,1.0,Rule-based match via cues (score 1),rule
977522,977522,,2025-09-17,WIFI,,WiFi,wifi,"The unit cannot connect to the 6G AP when country code is set to ""Paraguay"".(Intel Garfield Peak2)",Connectivity,1.0,Rule-based match via cues (score 1),rule
977518,977518,,2025-09-17,BT,,Bluetooth,bt,Bluetooth connection during ModS,Connectivity,1.0,Rule-based match via cues (score 1),rule
977490,977490,,2025-09-17,CIE,,ICPS/Killer,software,ICPS cant be launched right after OOBE,ICPS,1.0,Technology is ICPS/Killer; auto-mapped to ICPS/Killer based on title cue.,auto
977459,977459,,2025-09-17,BT,,Bluetooth,bt,Bt ext driver  failed to send broadcast when sharing via Honor Manager,Connectivity,1.0,Rule-based match via cues (score 1),rule
BT-391836,977426,Latitude 5350  | Wi-Fi icon disapear after resuming from S4 when use Trend Micro security software,2025-09-17,BT,,Bluetooth,bt,Latitude 5350  | Wi-Fi icon disapear after resuming from S4 when use Trend Micro security software,Connectivity,0.8,Title contains 'Wi-Fi icon disapear' and 'connectivity' related keywords,"{
  ""category"": ""Connectivity"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'Wi-Fi icon disapear' and 'connectivity' related keywords""
}"
WIFI-755323,977410,DRTU 2.4GHz testing 100% on 4/11 DUT not work with 23.165 assert 0x2010121E,2025-09-17,WIFI,,WiFi,wifi,DRTU 2.4GHz testing 100% on 4/11 DUT not work with 23.165 assert 0x2010121E,YB/Lost,1.0,Hard override matched phrase 'assert',rule
977401,977401,,2025-09-17,WIFI,,WiFi,wifi,WLAN YB issueon MP build,YB/Lost,1.0,Rule-based match via cues (score 1),rule
977291,977291,,2025-09-16,NA,,NA,na,PN252 CNVI+TBT4 review,Connectivity,1.0,Rule-based match via cues (score 1),rule
WIFI-759165,977287,Wi-Fi sinewave function of DRTU tool is not working (BE211 QS),2025-09-16,WIFI,,WiFi,wifi,Wi-Fi sinewave function of DRTU tool is not working (BE211 QS),OEM Tools,1.0,Rule-based match via cues (score 1),rule
977280,977280,,2025-09-16,WIFI,,WiFi,wifi,WiFi-PPAG power increase is limited,Power Consumption,1.0,Rule-based match via cues (score 1),rule
977278,977278,,2025-09-16,BT,,Bluetooth,bt,Few advs are sent using the ioctl API,Connectivity,0.8,"Title contains 'advs' which is a cue for connectivity issues, specifically related to Bluetooth","{
  ""category"": ""Connectivity"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'advs' which is a cue for connectivity issues, specifically related to Bluetooth""
}"
977277,977277,,2025-09-16,BT,,Bluetooth,bt,"Bluetooth headphones fail to reconnect after entering S4mode. (Fail rate2/2u,3/20C)",Connectivity,1.0,Rule-based match via cues (score 1),rule
977268,977268,,2025-09-16,WIFI,,WiFi,wifi,"stress CB unit show black screen , force shutdown event log show bugcheck 0x9f",BSOD,1.0,Rule-based match via cues (score 2),rule
977266,977266,,2025-09-16,WIFI,,WiFi,wifi,Wi-Fi TPT Degradation When the System Is Connected to a Specific Monitor via HDMI Cable.,Performance,1.0,Rule-based match via cues (score 1),rule
977247,977247,,2025-09-16,WIFI,,WiFi,wifi,WLAN YB issue on MP build,YB/Lost,1.0,Rule-based match via cues (score 1),rule
WIFI-755302,977246,P2P Pairing Failure (Assert 0x20100730) After Provisioning,2025-09-16,WIFI,,WiFi,wifi,P2P Pairing Failure (Assert 0x20100730) After Provisioning,YB/Lost,1.0,Hard override matched phrase 'assert',rule
977244,977244,,2025-09-16,WIFI,,WiFi,wifi,No Reply to 3rd message during EAP 4-way HS.,Connectivity,0.8,"Title contains 'Reply' and 'EAP', which are related to connectivity issues.","{
  ""category"": ""Connectivity"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'Reply' and 'EAP', which are related to connectivity issues.""
}"
977237,977237,,2025-09-16,WIFI,,WiFi,wifi,No Reply to 3rd message during EAP 4-way HS.,Connectivity,0.8,"Title contains 'Reply' and 'EAP', which are related to connectivity issues.","{
  ""category"": ""Connectivity"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'Reply' and 'EAP', which are related to connectivity issues.""
}"
977149,977149,,2025-09-15,WIFI,,WiFi,wifi,[HONOR][HUAQIN][WCL][AX211][2230&1216][LvzhouD][[EVT][Schematic][#1],Connectivity,0.8,"Title contains 'WCL' and 'AX211', which are related to WiFi connectivity.","{
  ""category"": ""Connectivity"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'WCL' and 'AX211', which are related to WiFi connectivity.""
}"
BT-388798,977138,BT device lost during reboot stress test. - External Exception  ( Door Bell Ack fail),2025-09-15,BT,,Bluetooth,bt,BT device lost during reboot stress test. - External Exception  ( Door Bell Ack fail),Connectivity,1.0,Rule-based match via cues (score 1),rule
WIFI-753874,977128,BE211 BT YB issue is suspected to be caused by Wi-Fi x121E assertion.,2025-09-15,WIFI,,WiFi,wifi,BE211 BT YB issue is suspected to be caused by Wi-Fi x121E assertion.,YB/Lost,1.0,Hard override matched phrase 'assert',rule
977119,977119,,2025-09-15,CIE,,ICPS/Killer,software,Sometimes ICPS UI automatically displays after restart,ICPS,1.0,Technology is ICPS/Killer; auto-mapped to ICPS/Killer based on title cue.,auto
976935,976935,,2025-09-15,BT,,Bluetooth,bt,"BT LE headphone shows ""connected mic, audio"" without ""L&R"" side in Settings/Bluetooth&Devices when pair BT LE headphone with unit.(AX211)",Connectivity,1.0,Rule-based match via cues (score 3),rule
BT-388310,976881,"BT 100% YB on Renegade MLK platform factory build ( YB code 43, 31, 10)",2025-09-15,BT,,Bluetooth,bt,"BT 100% YB on Renegade MLK platform factory build ( YB code 43, 31, 10)",YB/Lost,1.0,Rule-based match via cues (score 1),rule
WIFI-753385,976877,Machu14W/16W MV report WLAN YB or Missing,2025-09-15,WIFI,,WiFi,wifi,Machu14W/16W MV report WLAN YB or Missing,YB/Lost,1.0,Rule-based match via cues (score 1),rule
976836,976836,,2025-09-15,WIFI,,WiFi,wifi,cnvi,Needs-Triage,0.0,No matching cues found in title 'cnvi',"{
  ""category"": ""Needs-Triage"",
  ""confidence"": 0,
  ""reasoning"": ""No matching cues found in title 'cnvi'""
}"
976753,976753,,2025-09-12,BT,,Bluetooth,bt,BR headset test no microphone function,Connectivity,0.8,"Title contains 'headset test' and 'no microphone function', which are indicative of connectivity issues.","{
  ""category"": ""Connectivity"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'headset test' and 'no microphone function', which are indicative of connectivity issues.""
}"
976738,976738,,2025-09-12,BT,,Bluetooth,bt,BT device yellow bar (error code 31during idle test (Fail rate1/2 u),Connectivity,1.0,Rule-based match via cues (score 1),rule
976729,976729,,2025-09-12,CIE,,ICPS/Killer,software,[Dell][Wistron][Ghostrider14/16 PTL][ICPS connection state of BT isnt updated],ICPS,1.0,Technology is ICPS/Killer; auto-mapped to ICPS/Killer based on title cue.,auto
976727,976727,,2025-09-12,WIFI,,WiFi,wifi,"BE200 Connect to a WIFI7 Router, Protocol shows Wi-Fi 6 (802.11ax)",Connectivity,1.0,Rule-based match via cues (score 1),rule
WIFI-759100,976666,WLAN lost and showed YB during Prime95k with WIFI connected.(BE201),2025-09-12,WIFI,,WiFi,wifi,WLAN lost and showed YB during Prime95k with WIFI connected.(BE201),YB/Lost,1.0,Rule-based match via cues (score 1),rule
976665,976665,,2025-09-12,BT,,Bluetooth,bt,BLE data exchanged times in a connection interval,System Hang,1.0,Rule-based match via cues (score 1),rule
976657,976657,,2025-09-12,WIFI,,WiFi,wifi,[Lenovo/Consumer][HQ][PTL-H] [BE211\BE213] [C711][EVT][Layout][#2],Connectivity,0.8,[BE211\BE213] and [C711][EVT] are likely related to WiFi connectivity issues,"{
  ""category"": ""Connectivity"",
  ""confidence"": 0.8,
  ""reasoning"": ""[BE211\\BE213] and [C711][EVT] are likely related to WiFi connectivity issues""
}"
BT-389629,976575,The audio switching from the system to the Bluetooth headset is delayed ~20s after headset reconnection(F/R:1/10),2025-09-12,BT,,Bluetooth,bt,The audio switching from the system to the Bluetooth headset is delayed ~20s after headset reconnection(F/R:1/10),Connectivity,1.0,Rule-based match via cues (score 1),rule
976540,976540,,2025-09-11,WIFI,,WiFi,wifi,6GHz band SSID detection behavior of each driver version,Connectivity,1.0,Rule-based match via cues (score 1),rule
976518,976518,,2025-09-11,NA,,NA,na,WIFI Connect issue on Ubuntu,Connectivity,1.0,Rule-based match via cues (score 1),rule
976498,976498,,2025-09-11,WIFI,,WiFi,wifi,Bingchuan EVT Schematic review,Needs-Triage,0.0,No matching cues found in the title,"{
  ""category"": ""Needs-Triage"",
  ""confidence"": 0,
  ""reasoning"": ""No matching cues found in the title""
}"
WIFI-751930,976489,The WLNA/BT lost(Assert 0x20100505) and then auto recover during CB stress test(F/R: 3/10 DUTs; 3/3000 Cycles),2025-09-11,WIFI,,WiFi,wifi,The WLNA/BT lost(Assert 0x20100505) and then auto recover during CB stress test(F/R: 3/10 DUTs; 3/3000 Cycles),YB/Lost,1.0,Hard override matched phrase 'assert',rule
976466,976466,,2025-09-11,WIFI,,WiFi,wifi,Bingchuan  EVT Schematic Layout review,Needs-Triage,1.0,No matching cues found in the title,"{
  ""category"": ""Needs-Triage"",
  ""confidence"": 1,
  ""reasoning"": ""No matching cues found in the title""
}"
976450,976450,,2025-09-11,WIFI,,WiFi,wifi,"After 2 mins, the P2P PC sends a deauth to pad",Connectivity,0.8,Title contains 'deauth' which is a connectivity-related term,"{
  ""category"": ""Connectivity"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'deauth' which is a connectivity-related term""
}"
976447,976447,,2025-09-11,WOT,,Tools,tools,UEFI Wi-Fi no function.,UEFI,1.0,Rule-based match via cues (score 1),rule
976421,976421,,2025-09-11,BT,,Bluetooth,bt,BT PPAG ENABLE,Connectivity,1.0,Rule-based match via cues (score 1),rule
976420,976420,,2025-09-11,WOT,,Tools,tools,CITU Connection Error,OEM Tools,1.0,Hard override matched phrase 'citu',rule
976324,976324,,2025-09-10,WIFI,,WiFi,wifi,External monitor video lagging,Performance,1.0,Rule-based match via cues (score 1),rule
BT-386293,976320,BSOD_0x1E after resume from MS,2025-09-10,BT,,Bluetooth,bt,BSOD_0x1E after resume from MS,BSOD,1.0,Rule-based match via cues (score 2),rule
976263,976263,,2025-09-10,BT,,Bluetooth,bt,BSOD 0x133 when Benchmark stress test,BSOD,1.0,Rule-based match via cues (score 2),rule
976244,976244,,2025-09-10,BT,,Bluetooth,bt,"SystemEvent log show error ID_5 after connect the BT MS&KB&Hedset devices, FR: 1/1Unit, 3/3Cycles",Connectivity,1.0,Rule-based match via cues (score 1),rule
976243,976243,,2025-09-10,WIFI,,WiFi,wifi,Sonya12 WIFI layout check,Connectivity,1.0,Rule-based match via cues (score 1),rule
976241,976241,,2025-09-10,CIE,,ICPS/Killer,software,ICPS cannot restore default settings through the reset button,ICPS,1.0,Technology is ICPS/Killer; auto-mapped to ICPS/Killer based on title cue.,auto
BT-385936,976228,ibtpci BSOD 0x7e while running TBT test (Thunderbolt test).,2025-09-10,BT,,Bluetooth,bt,ibtpci BSOD 0x7e while running TBT test (Thunderbolt test).,BSOD,1.0,Rule-based match via cues (score 2),rule
WIFI-751229,976224,wlan shows yellow mark during restart stress (FR: 1/39 cycles),2025-09-10,WIFI,,WiFi,wifi,wlan shows yellow mark during restart stress (FR: 1/39 cycles),Connectivity,1.0,Rule-based match via cues (score 1),rule
CIE-8706,976213,ICPS cant start automatically when device is powered on from S5,2025-09-10,CIE,,ICPS/Killer,software,ICPS cant start automatically when device is powered on from S5,ICPS,1.0,Technology is ICPS/Killer; auto-mapped to ICPS/Killer based on title cue.,auto
WOT-64944,976206,BE211 cant connect to WiFi AP in OWE mode with ANT tool,2025-09-10,WOT,,Tools,tools,BE211 cant connect to WiFi AP in OWE mode with ANT tool,OEM Tools,1.0,Hard override matched phrase 'ant',rule
976130,976130,,2025-09-10,WIFI,,WiFi,wifi,wifi tx stuck & ping timeout when doing ms test,System Hang,1.0,Rule-based match via cues (score 1),rule
CIE-8716,976091,Failure occurs when running Live Inspect with Narrators Accessibility in ICPS app.,2025-09-09,CIE,,ICPS/Killer,software,Failure occurs when running Live Inspect with Narrators Accessibility in ICPS app.,ICPS,1.0,Technology is ICPS/Killer; auto-mapped to ICPS/Killer based on title cue.,auto
976088,976088,,2025-09-09,BT,,Bluetooth,bt,"High CPU utilization (10-15%) in idle S0 state, exceeding spec limit (<5%)(F/R: 2/5 UUTs, 2/5 Cycles)",Performance,0.8,"High CPU utilization in idle state is a performance-related issue, matching the 'performance' category cues.","{
  ""category"": ""Performance"",
  ""confidence"": 0.8,
  ""reasoning"": ""High CPU utilization in idle state is a performance-related issue, matching the 'performance' category cues.""
}"
CIE-8714,976083,"When Accessibility->Text size is set to 200%, the prompt window that appears when launching ICPS is not fully displayed.",2025-09-09,CIE,,ICPS/Killer,software,"When Accessibility->Text size is set to 200%, the prompt window that appears when launching ICPS is not fully displayed.",ICPS,1.0,Technology is ICPS/Killer; auto-mapped to ICPS/Killer based on title cue.,auto
CIE-8708,976081,"selecting the ""Desert"" theme, the version number in the upper right corner of the Intel Connectivity Performance Suite window is not clearly visible.",2025-09-09,CIE,,ICPS/Killer,software,"selecting the ""Desert"" theme, the version number in the upper right corner of the Intel Connectivity Performance Suite window is not clearly visible.",Killer,1.0,Technology is ICPS/Killer; auto-mapped to ICPS/Killer based on title cue.,auto
CIE-8710,976066,Failure occurs when running Live Inspect test in ICPS app,2025-09-09,CIE,,ICPS/Killer,software,Failure occurs when running Live Inspect test in ICPS app,ICPS,1.0,Technology is ICPS/Killer; auto-mapped to ICPS/Killer based on title cue.,auto
976028,976028,,2025-09-09,WIFI,,WiFi,wifi,Debugging the antenna performance parameters of the WIFI Sensor waking up the PC under MS,Connectivity,1.0,Rule-based match via cues (score 1),rule
WIFI-753344,976006,"Single Project Dramatic Performance Drop upon DC ""Best Power Efficiency"" Mode",2025-09-09,WIFI,,WiFi,wifi,"Single Project Dramatic Performance Drop upon DC ""Best Power Efficiency"" Mode",Power Consumption,1.0,Rule-based match via cues (score 1),rule
975980,975980,,2025-09-09,WIFI,,WiFi,wifi,SIP127910 - EB 8 G1i (Machu14N) / Open Polytechnic / GA / Intel(R) Wi-Fi 7 BE201 issue when using certificate authentication using windows NPS / PC APJ / NZ,Connectivity,0.8,"Title contains 'authentication' and 'connectivity' related keywords like 'NPS', which suggests a connectivity issue.","{
  ""category"": ""Connectivity"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'authentication' and 'connectivity' related keywords like 'NPS', which suggests a connectivity issue.""
}"
WIFI-758103,975968,Can not connect to Wi-Fi 6G hot spot,2025-09-09,WIFI,,WiFi,wifi,Can not connect to Wi-Fi 6G hot spot,Power Consumption,1.0,Rule-based match via cues (score 1),rule
WIFI-750665,975942,WiFi 5002 assert and abnormal disc,2025-09-09,WIFI,,WiFi,wifi,WiFi 5002 assert and abnormal disc,YB/Lost,1.0,Hard override matched phrase '5002',rule
975940,975940,,2025-09-09,WIFI,,WiFi,wifi,Wi-Fi adapter failed to send data within the expected time,Connectivity,0.8,"Title contains 'adapter' and 'failed to send data', which are indicative of connectivity issues.","{
  ""category"": ""Connectivity"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'adapter' and 'failed to send data', which are indicative of connectivity issues.""
}"
WIFI-750602,975930,wifi suddenly cannot search any HB AP until radio off/on manually,2025-09-09,WIFI,,WiFi,wifi,wifi suddenly cannot search any HB AP until radio off/on manually,Connectivity,1.0,Rule-based match via cues (score 1),rule
975912,975912,,2025-09-09,WOT,,Tools,tools,BE213 Sartable set fail with Ant tool,OEM Tools,1.0,Hard override matched phrase 'ant',rule
975788,975788,,2025-09-08,BT,,Bluetooth,bt,System 25H2 Modern standby fail,Connectivity,0.8,"Title contains 'standby fail' which is related to connectivity issues, specifically Bluetooth","{
  ""category"": ""Connectivity"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'standby fail' which is related to connectivity issues, specifically Bluetooth""
}"
975726,975726,,2025-09-08,WIFI,,WiFi,wifi,wifi showed asserts & cannot connect AP in awhile,YB/Lost,1.0,Hard override matched phrase 'assert',rule
WIFI-749263,975689,"WLAN sometimes do not show 2 MLO links but only 1 link with the command ""netsh wlan show i"" after MLO AP is connected (F/R: 3/10)",2025-09-08,WIFI,,WiFi,wifi,"WLAN sometimes do not show 2 MLO links but only 1 link with the command ""netsh wlan show i"" after MLO AP is connected (F/R: 3/10)",Connectivity,1.0,Rule-based match via cues (score 2),rule
975687,975687,,2025-09-08,WIFI,,WiFi,wifi,X6PT47TJ Layout review for M.2 WIFI module,Connectivity,1.0,Rule-based match via cues (score 1),rule
975676,975676,,2025-09-08,BT,,Bluetooth,bt,BIOS tool unable to read the BT PPAG (Intel BE211),Connectivity,1.0,Rule-based match via cues (score 1),rule
975675,975675,,2025-09-08,BT,,Bluetooth,bt,Factory build stress test - Burnin/3D Mark test BT YB,YB/Lost,1.0,Rule-based match via cues (score 1),rule
WIFI-768995,975661,no MLO connection as associating with Asus RT-BE92u,2025-09-08,WIFI,,WiFi,wifi,no MLO connection as associating with Asus RT-BE92u,Connectivity,1.0,Rule-based match via cues (score 1),rule
975650,975650,,2025-09-06,WIFI,,WiFi,wifi,"[HP][HQ][Graham][BE211][25H2][SI]The units not find ""DMA reapplication policy"" option after open Device Manager and click on WLAN adapter ->Details tab ->Property.[4 out of 4 units, 4 out of 4 times]",Connectivity,1.0,Rule-based match via cues (score 1),rule
975639,975639,,2025-09-06,WIFI,,WiFi,wifi,The speed of the Wlan 5G band will decrease after waking up from RS when test wh,Connectivity,1.0,Rule-based match via cues (score 1),rule
975588,975588,,2025-09-05,WIFI,,WiFi,wifi,WiFi 6 Ghz can not be detected or connected when the channel is at 101/149/213.,Connectivity,1.0,Rule-based match via cues (score 1),rule
975549,975549,,2025-09-05,WIFI,,WiFi,wifi,BE201 device lost when doing s0i3 resume test,YB/Lost,0.8,"Title contains 'lost' and 'device', which are common cues for Yellow Bang/Lost issues, especially in the context of a resume test.","{
  ""category"": ""YB/Lost"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'lost' and 'device', which are common cues for Yellow Bang/Lost issues, especially in the context of a resume test.""
}"
975546,975546,,2025-09-05,WIFI,,WiFi,wifi,Connection Issue with MRU Test AP (ASUS),Connectivity,0.8,"Title contains 'Connection Issue' and 'AP', which are indicative of connectivity issues.","{
  ""category"": ""Connectivity"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'Connection Issue' and 'AP', which are indicative of connectivity issues.""
}"
975506,975506,,2025-09-05,WIFI,,WiFi,wifi,The Intel(R) Wireless Bluetooth(R) and Intel(R) WIFI-6E AZ211 160Mhz show YB(Code:10) in Device Manager after click test in Sound/Headphone/Headphone Properties/Advanced.,YB/Lost,1.0,Rule-based match via cues (score 1),rule
975293,975293,,2025-09-04,WIFI,,WiFi,wifi,The system cannot scan for the 6GHz mobile Hotspot (VLP).,Power Consumption,1.0,Rule-based match via cues (score 1),rule
975244,975244,,2025-09-04,BT,,Bluetooth,bt,Intel BE201 Bluetooth occur BSOD 0x9F when Runin test with CGTT-TATSTRESS-180MINS.,BSOD,1.0,Rule-based match via cues (score 2),rule
975239,975239,,2025-09-04,WIFI,,WiFi,wifi,Conductive TPT test fail,Performance,1.0,Rule-based match via cues (score 1),rule
975217,975217,,2025-09-04,WIFI,,WiFi,wifi,BE201 PLDR happens after s0i3 at 0 degree,YB/Lost,1.0,Rule-based match via cues (score 1),rule
975163,975163,,2025-09-03,BT,,Bluetooth,bt,"UUT appears BSOD (0X7e) under OS, pointing to (BE211) ibtpci.sys. (FR: 1/3 unit, 1/30 cycles)",BSOD,1.0,Rule-based match via cues (score 2),rule
975159,975159,,2025-09-03,WIFI,,WiFi,wifi,"UUT appears (BE211)WiFi/BT Device lost, event log error code is 5055, when idle or when refreshing the WiFi list.(FR: 2/4 unit ,20/40cycles)",Connectivity,1.0,Rule-based match via cues (score 2),rule
WIFI-747508,975151,Intel WIFI will show Yellow bang after using for a while.,2025-09-03,WIFI,,WiFi,wifi,Intel WIFI will show Yellow bang after using for a while.,YB/Lost,1.0,Rule-based match via cues (score 1),rule
975082,975082,,2025-09-03,WIFI,,WiFi,wifi,"UUT appears WiFi BT card missing, eventvwr log error code 5055, when idle or when refreshing the WiFi list.(FR: 2/4 unit ,20/40cycles)",Connectivity,1.0,Rule-based match via cues (score 2),rule
975078,975078,,2025-09-03,WIFI,,WiFi,wifi,Renegade MLK platform factory build encountered BE211 WLAN YB issue (code,YB/Lost,1.0,Rule-based match via cues (score 1),rule
975076,975076,,2025-09-03,BT,,Bluetooth,bt,DRTUClient fails to connect using command line interface,OEM Tools,1.0,Rule-based match via cues (score 1),rule
WIFI-746815,975047,"install WLAN driver via DUP, UI shows error but driver install properly",2025-09-03,WIFI,,WiFi,wifi,"install WLAN driver via DUP, UI shows error but driver install properly",Connectivity,1.0,Rule-based match via cues (score 1),rule
975019,975019,,2025-09-03,BT,,Bluetooth,bt,UUT appears BSOD (0X7e) point to ibtpci.sys when enter OS,BSOD,1.0,Rule-based match via cues (score 2),rule
974997,974997,,2025-09-03,WOT,,Tools,tools,Intel_Tools_Installer failure installation when the battery level is 30%,Power Consumption,1.0,Rule-based match via cues (score 1),rule
974976,974976,,2025-09-03,BT,,Bluetooth,bt,Bluetooth disconnected when play audio,Connectivity,1.0,Rule-based match via cues (score 2),rule
974975,974975,,2025-09-03,BT,,Bluetooth,bt,Bluetooth YB while doing MS/WB Stress test,YB/Lost,1.0,Rule-based match via cues (score 1),rule
974873,974873,,2025-09-02,WIFI,,WiFi,wifi,Hotspot Client Cannot Access Internet,Power Consumption,1.0,Rule-based match via cues (score 1),rule
974827,974827,,2025-09-02,BT,,Bluetooth,bt,PC scan Speaker slowly with 100% duty,Performance,1.0,Rule-based match via cues (score 1),rule
974826,974826,,2025-09-02,BT,,Bluetooth,bt,Intel(R) Wireless Bluetooth(R) lost during S4 Stress,Connectivity,1.0,Rule-based match via cues (score 1),rule
974821,974821,,2025-09-02,WIFI,,WiFi,wifi,Miracast Connecting Failure from end user.,Connectivity,1.0,Rule-based match via cues (score 1),rule
WIFI-755906,974800,BE200 YB after S4 resume,2025-09-02,WIFI,,WiFi,wifi,BE200 YB after S4 resume,YB/Lost,1.0,Rule-based match via cues (score 1),rule
974471,974471,,2025-09-01,BT,,Bluetooth,bt,PC connect Android by ble failed,Connectivity,0.8,"Title contains 'connect' and 'failed', which are common cues for connectivity issues, especially in the context of Bluetooth.","{
  ""category"": ""Connectivity"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'connect' and 'failed', which are common cues for connectivity issues, especially in the context of Bluetooth.""
}"
WIFI-747573,974466,WLAN show YB on DeviceManager and event log show error by run S4 stress,2025-09-01,WIFI,,WiFi,wifi,WLAN show YB on DeviceManager and event log show error by run S4 stress,YB/Lost,1.0,Rule-based match via cues (score 1),rule
BT-386313,974454,Google Pixel Buds Pro 2 LE Audio connection and Initial pairing issue,2025-09-01,BT,,Bluetooth,bt,Google Pixel Buds Pro 2 LE Audio connection and Initial pairing issue,Connectivity,1.0,Rule-based match via cues (score 2),rule
WIFI-751180,974429,P2P client(BE201) unexpectedly disconnected from GO(Phone) due to no BA for a long time,2025-09-01,WIFI,,WiFi,wifi,P2P client(BE201) unexpectedly disconnected from GO(Phone) due to no BA for a long time,Connectivity,1.0,Rule-based match via cues (score 1),rule
WIFI-743376,974311,WLAN YB during MFG testing -- 0x5055dead -- 0x508,2025-08-29,WIFI,,WiFi,wifi,WLAN YB during MFG testing -- 0x5055dead -- 0x508,YB/Lost,1.0,Rule-based match via cues (score 1),rule
CIE-8532,974255,ICPS icon does not appear at the lower right corner of the taskbar after resuming from Hybrid shutdown,2025-08-29,CIE,,ICPS/Killer,software,ICPS icon does not appear at the lower right corner of the taskbar after resuming from Hybrid shutdown,ICPS,1.0,Technology is ICPS/Killer; auto-mapped to ICPS/Killer based on title cue.,auto
974254,974254,,2025-08-29,BT,,Bluetooth,bt,BE200MIC,Connectivity,0.8,"Matching cue: 'Bluetooth' is not present, but the title contains 'BE200MIC', which might be a device name related to Bluetooth connectivity.","{
  ""category"": ""Connectivity"",
  ""confidence"": 0.8,
  ""reasoning"": ""Matching cue: 'Bluetooth' is not present, but the title contains 'BE200MIC', which might be a device name related to Bluetooth connectivity.""
}"
974231,974231,,2025-08-29,WOT,,Tools,tools,DRTU 2.4GHz tx power is low,OEM Tools,1.0,Hard override matched phrase 'drtu',rule
974206,974206,,2025-08-29,WIFI,,WiFi,wifi,BE211 conductive T-PUT Rx is unexpected.,RF,0.8,Matched cue: 'Rx' in title,"{
  ""category"": ""RF"",
  ""confidence"": 0.8,
  ""reasoning"": ""Matched cue: 'Rx' in title""
}"
974092,974092,,2025-08-28,BT,,Bluetooth,bt,Intel Bluetooth Device displays yellow bang when running STPM_HBS.,YB/Lost,1.0,Rule-based match via cues (score 1),rule
974088,974088,,2025-08-28,WIFI,,WiFi,wifi,25H2 FVT1.01:System occurred BSOD 0x101( No dump file; Stop Code: CLOCK_WATCHDOG_TIMEOUT ) when connect Wi-Fi during desktop,BSOD,1.0,Rule-based match via cues (score 3),rule
WIFI-746160,974075,"Intel BE200 WLAN units do not display Wi-Fi7 mode after AP switching from 802.11ax to Wi-Fi7 when connect to 6GHz.(F/R:2/2 units,10/10 cycles)",2025-08-28,WIFI,,WiFi,wifi,"Intel BE200 WLAN units do not display Wi-Fi7 mode after AP switching from 802.11ax to Wi-Fi7 when connect to 6GHz.(F/R:2/2 units,10/10 cycles)",Connectivity,1.0,Rule-based match via cues (score 1),rule
WIFI-755327,974033,"Field issue report of WLAN fail to start, 3 customers, 3  Thames, and 7 Mersey -- 0x20104009 --0x20100508",2025-08-28,WIFI,,WiFi,wifi,"Field issue report of WLAN fail to start, 3 customers, 3  Thames, and 7 Mersey -- 0x20104009 --0x20100508",BSOD,1.0,Rule-based match via cues (score 1),rule
973895,973895,,2025-08-27,WIFI,,WiFi,wifi,Disappear Wi-Fi just after wireless mode change a/b/g to b/g,System Hang,1.0,Rule-based match via cues (score 1),rule
CIE-9438,973864,Critical and High vulnerabilities on SQLITE3 v3.42.0,2025-08-27,CIE,,ICPS/Killer,software,Critical and High vulnerabilities on SQLITE3 v3.42.0,Killer,1.0,Technology is ICPS/Killer; auto-mapped to ICPS/Killer based on title cue.,auto
973858,973858,,2025-08-27,CIE,,ICPS/Killer,software,ICPS Scheduled Task RNIdle left over after uninstallation,ICPS,1.0,Technology is ICPS/Killer; auto-mapped to ICPS/Killer based on title cue.,auto
