jira_id,ips_title,jira_component,component_frequency,feature_text
CIE-2048,[HP/Win11/ADL/GfP2/Warpath] Can not launch ICPS on clean OS which has not installed WLAN and Intel Management Engine Components drivers,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [HP/Win11/ADL/GfP2/Warpath] Can not launch ICPS on clean OS which has not installed WLAN and Intel Management Engine Components drivers
CIE-2066,"[Samsung][ADL][ICPS]""passcode incorrect"" message doesn't appear",User Interface->Intel Connectivity Performance Suite,84,"[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Samsung][ADL][ICPS]""passcode incorrect"" message doesn't appear"
CIE-2105,"[Lenovo-ThinkPad][Jaguar/Panther-2][AlderLake][AX211][21H2][100%]:If Auto Switch was enabled in advanced setting, no pop up notification anymore but Pop up notification option still enabled",User Interface->Intel Connectivity Performance Suite,84,"[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo-ThinkPad][Jaguar/Panther-2][AlderLake][AX211][21H2][100%]:If Auto Switch was enabled in advanced setting, no pop up notification anymore but Pop up notification option still enabled"
CIE-2137,[Lenovo-IdeaPad][Thinkbook plus G3 IAP][AlderLake][AX211][21H2][100%]: ICPS window becomes black screen after 2nd time openning in All Apps,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo-IdeaPad][Thinkbook plus G3 IAP][AlderLake][AX211][21H2][100%]: ICPS window becomes black screen after 2nd time openning in All Apps
CIE-2444,[Lenovo-ThinkPad][T16][AlderLake][AX211][21H2][100%]:ethernet not removed from the Network Health list if unplug the ethernet cable,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo-ThinkPad][T16][AlderLake][AX211][21H2][100%]:ethernet not removed from the Network Health list if unplug the ethernet cable
CIE-2445,[Lenovo-ThinkPad][T16][AlderLake][AX211][21H2][100%]:WWAN not listed in Network Health page,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo-ThinkPad][T16][AlderLake][AX211][21H2][100%]:WWAN not listed in Network Health page
CIE-2455,"[ASUS CCBU][ICPS]  Intel Connectivity and Performance Suite, doesn't work with Narrator, multiple fields/items are not labeled.",User Interface->Intel Connectivity Performance Suite,84,"[COMPONENT=User Interface->Intel Connectivity Performance Suite] [ASUS CCBU][ICPS]  Intel Connectivity and Performance Suite, doesn't work with Narrator, multiple fields/items are not labeled."
CIE-2466,"[Lenovo-ThinkPad][T16][AlderLake][AX211][21H2][100%]:""Advanced Connection Manager"" tab appears without network after OOBE.",User Interface->Intel Connectivity Performance Suite,84,"[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo-ThinkPad][T16][AlderLake][AX211][21H2][100%]:""Advanced Connection Manager"" tab appears without network after OOBE."
CIE-2602,[Lenovo-IdeaPad][LCFC][C980][RaptorLake][AX211][22H2][100%][ICPS2.0]:Max Throughput Mode doesn't work,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo-IdeaPad][LCFC][C980][RaptorLake][AX211][22H2][100%][ICPS2.0]:Max Throughput Mode doesn't work
CIE-2641,[Lenovo][C980][RaptorLake][AX211][22H2][100%][ICPS2.0]:Vulnerability on SQLITE3 v3.36.0,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][C980][RaptorLake][AX211][22H2][100%][ICPS2.0]:Vulnerability on SQLITE3 v3.36.0
CIE-2645,[Dynabook]The contrast colors for some buttons have no change after enabling High Contrast,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Dynabook]The contrast colors for some buttons have no change after enabling High Contrast
CIE-2655,"[HP/SIO2156698/Win10/RPL/GfP2/Warg] The ""Enable AP selection option"" still shows disable after click reset button.",User Interface->Intel Connectivity Performance Suite,84,"[COMPONENT=User Interface->Intel Connectivity Performance Suite] [HP/SIO2156698/Win10/RPL/GfP2/Warg] The ""Enable AP selection option"" still shows disable after click reset button."
CIE-2763,[Lenovo][RaptorLake][AX211][22H2][100%][ICPS2.0]: SSID shows &amp; instead of & if connect AP in ICPS,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][RaptorLake][AX211][22H2][100%][ICPS2.0]: SSID shows &amp; instead of & if connect AP in ICPS
CIE-2767,[Lenovo][RaptorLake][AX211][22H2][100%][ICPS2.0]: It will delay over 30 seconds to refresh AP info in ICPS,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][RaptorLake][AX211][22H2][100%][ICPS2.0]: It will delay over 30 seconds to refresh AP info in ICPS
CIE-2938,[Lenovo][RaptorLake][AX211][22H2][100%][ICPS2.0]: Passcode incorrect will be shown when connect Wifi with correct passcode,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][RaptorLake][AX211][22H2][100%][ICPS2.0]: Passcode incorrect will be shown when connect Wifi with correct passcode
CIE-3019,[ICPS]Recommendations area is not updating,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [ICPS]Recommendations area is not updating
CIE-3180,[Lenovo][RaptorLake][AX211][22H2][100%][ICPS2.0]: ICPS UI font for SC is not localized,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][RaptorLake][AX211][22H2][100%][ICPS2.0]: ICPS UI font for SC is not localized
CIE-3505,"[ICPS]""Wireless radio disabled or Airplane Mode enabled"" is not displayed.",User Interface->Intel Connectivity Performance Suite,84,"[COMPONENT=User Interface->Intel Connectivity Performance Suite] [ICPS]""Wireless radio disabled or Airplane Mode enabled"" is not displayed."
CIE-3803,[HP/SIO2222382/Win11/MTL/GfP2/Herbie] Touch keyboard/handwrite panel will pop up when tap in ICPS\Help page on tablet mode with touch screen.,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [HP/SIO2222382/Win11/MTL/GfP2/Herbie] Touch keyboard/handwrite panel will pop up when tap in ICPS\Help page on tablet mode with touch screen.
CIE-3882,[Lenovo][MeteorLake][AX211][22H2][100%][ICPS3.0]There are some issues when MSFT Narrator is reading ICPS GUI (Microsoft CER Report Must Fix item),User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][MeteorLake][AX211][22H2][100%][ICPS3.0]There are some issues when MSFT Narrator is reading ICPS GUI (Microsoft CER Report Must Fix item)
CIE-3937,[Acer/Compal][Violin_MTH]ICPS APP cant display wifi 7 protocol.,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Acer/Compal][Violin_MTH]ICPS APP cant display wifi 7 protocol.
CIE-3980,[HP/SIO2244336/Win11/MTL/GfP2/Thompson] AP connected status in ICPS does not sync with OS after idle 10 minutes.,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [HP/SIO2244336/Win11/MTL/GfP2/Thompson] AP connected status in ICPS does not sync with OS after idle 10 minutes.
CIE-4025,[Samsung][MTL][ICPS]ICPS app issues when turning on Windows Narrator,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Samsung][MTL][ICPS]ICPS app issues when turning on Windows Narrator
CIE-4035,[Lenovo][MeteorLake][AX211][22H2][100%][ICPS3.0]ICPS cant be installed successfully on some devices,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][MeteorLake][AX211][22H2][100%][ICPS3.0]ICPS cant be installed successfully on some devices
CIE-4046,[Lenovo][MeteorLake][AX211/BE200][22H2][15%][ICPS3.0]It will delay more than 3 minutes to refresh Wi-Fi AP information in ICPS UI.,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][MeteorLake][AX211/BE200][22H2][15%][ICPS3.0]It will delay more than 3 minutes to refresh Wi-Fi AP information in ICPS UI.
CIE-4109,[Samsung][LNL][ICPS]ICPS app issues when turning on Windows Narrator,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Samsung][LNL][ICPS]ICPS app issues when turning on Windows Narrator
CIE-4135,[Samsung][LNL][ICPS] The usage details is in both the priority tab and usage details tab,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Samsung][LNL][ICPS] The usage details is in both the priority tab and usage details tab
CIE-4136,[Samsung][LNL][ICPS] There is nothing about BT in the help tab.,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Samsung][LNL][ICPS] There is nothing about BT in the help tab.
CIE-4137,"[Samsung][LNL][ICPS]When BT devices scans, blank appears or no device name.",User Interface->Intel Connectivity Performance Suite,84,"[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Samsung][LNL][ICPS]When BT devices scans, blank appears or no device name."
CIE-4138,[Samsung][LNL][ICPS]BT mouse connected to a DUT does not appear on BT tab of ICPS.,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Samsung][LNL][ICPS]BT mouse connected to a DUT does not appear on BT tab of ICPS.
CIE-4139,[Samsung][LNL][ICPS]The number of BT devices scanned on ICPS is less than windows scan,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Samsung][LNL][ICPS]The number of BT devices scanned on ICPS is less than windows scan
CIE-4192,[Samsung][LNL][ICPS]No image descriptions when turning on Windows Narrator as scan mode,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Samsung][LNL][ICPS]No image descriptions when turning on Windows Narrator as scan mode
CIE-4193,"[Samsung][LNL][ICPS]The BT tab doesnt have scrolling, so cant see all scanned devices.",User Interface->Intel Connectivity Performance Suite,84,"[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Samsung][LNL][ICPS]The BT tab doesnt have scrolling, so cant see all scanned devices."
CIE-4204,[Lenovo][MeteorLake][AX211][24H2][100%][ICPS3.0]ICPS doesnt work on 24H2 without enabling Location access,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][MeteorLake][AX211][24H2][100%][ICPS3.0]ICPS doesnt work on 24H2 without enabling Location access
CIE-4209,[Lenovo][MeteorLake][AX211][24H2][100%][ICPS3.0]ACM is renamed as Access Connectivity Manager and not consistent in UI.,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][MeteorLake][AX211][24H2][100%][ICPS3.0]ACM is renamed as Access Connectivity Manager and not consistent in UI.
CIE-4212,[Lenovo][MeteorLake][AX211][24H2][100%][ICPS3.0]ICPS memory usage is high,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][MeteorLake][AX211][24H2][100%][ICPS3.0]ICPS memory usage is high
CIE-4280,[Lenovo][MeteorLake][AX211][24H2][100%][ICPS3.0]Location access dialog will be shown when switching network in ICPS,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][MeteorLake][AX211][24H2][100%][ICPS3.0]Location access dialog will be shown when switching network in ICPS
CIE-4282,[Samsung][MTL][ICPS]No image descriptions when turning on Windows Narrator as scan mode,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Samsung][MTL][ICPS]No image descriptions when turning on Windows Narrator as scan mode
CIE-4369,"[HP/SIO2272130/Win11/LNL/FmP2/Regis] ICPS doesnt work with Narrator ""Advanced settings page some items""",User Interface->Intel Connectivity Performance Suite,84,"[COMPONENT=User Interface->Intel Connectivity Performance Suite] [HP/SIO2272130/Win11/LNL/FmP2/Regis] ICPS doesnt work with Narrator ""Advanced settings page some items"""
CIE-4397,[Dynabook][Win11]Teams call cannot automatically switch interface after manually configure connection in ICPS,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Dynabook][Win11]Teams call cannot automatically switch interface after manually configure connection in ICPS
CIE-4409,[Samsung][LNL][ICPS]BT mouse connected to a DUT appears as keyboard on BT tab of ICPS.,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Samsung][LNL][ICPS]BT mouse connected to a DUT appears as keyboard on BT tab of ICPS.
CIE-4425,"[Lenovo][MeteorLake][AX211][24H2][100%][ICPS4.0]Select an AP in ICPS, the Password input UI cant be shown",User Interface->Intel Connectivity Performance Suite,84,"[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][MeteorLake][AX211][24H2][100%][ICPS4.0]Select an AP in ICPS, the Password input UI cant be shown"
CIE-4456,[Lenovo][MeteorLake][AX211][24H2][100%][ICPS4.0]ICPS UI is not translated to Simplified Chinese,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][MeteorLake][AX211][24H2][100%][ICPS4.0]ICPS UI is not translated to Simplified Chinese
CIE-4457,"[Lenovo][MeteorLake][AX211][24H2][100%][ICPS4.0]ICPS no response for 5s when clicking ""Enable Smart Access Point Selection"" twice quickly",User Interface->Intel Connectivity Performance Suite,84,"[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][MeteorLake][AX211][24H2][100%][ICPS4.0]ICPS no response for 5s when clicking ""Enable Smart Access Point Selection"" twice quickly"
CIE-4466,[Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]Some Bluetooth devices cant be reconnected via ICPS UI,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]Some Bluetooth devices cant be reconnected via ICPS UI
CIE-4468,[Lenovo][LunarLake][BE201][24H2][0.1%][ICPS4.0]Lost ICPS in S3/S4 long run test,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][LunarLake][BE201][24H2][0.1%][ICPS4.0]Lost ICPS in S3/S4 long run test
CIE-4482,[Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]The password input UI takes more than 10 seconds to show when click AP in ICPS,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]The password input UI takes more than 10 seconds to show when click AP in ICPS
CIE-4557,[Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]Password cant be remembered when connecting AP in ICPS,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]Password cant be remembered when connecting AP in ICPS
CIE-4681,[HP/SIO2291163/23H2/LNL/FmP2/MasadaN] The App/Website shows blank when change Prioritization mode in ICPS,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [HP/SIO2291163/23H2/LNL/FmP2/MasadaN] The App/Website shows blank when change Prioritization mode in ICPS
CIE-4745,"[HP/SIO2298044/Win11/LNL/FmP2/MasadaN] QR code is overlapped with the word ""click to enlarge"" in Kazakhstan image",User Interface->Intel Connectivity Performance Suite,84,"[COMPONENT=User Interface->Intel Connectivity Performance Suite] [HP/SIO2298044/Win11/LNL/FmP2/MasadaN] QR code is overlapped with the word ""click to enlarge"" in Kazakhstan image"
CIE-4761,[HP/SIO2297006/Win11/LNL/FmP2/MasadaN] Connect in Network Health tab cannot show full text,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [HP/SIO2297006/Win11/LNL/FmP2/MasadaN] Connect in Network Health tab cannot show full text
CIE-4762,"[ACER][Cymbal_RTU] Open ICPS->Advanced Setting->Start VR mode, the VR mode interface will disappear..",User Interface->Intel Connectivity Performance Suite,84,"[COMPONENT=User Interface->Intel Connectivity Performance Suite] [ACER][Cymbal_RTU] Open ICPS->Advanced Setting->Start VR mode, the VR mode interface will disappear.."
CIE-4888,[Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]ICPS version appears in Advanced Settings right lower corner,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]ICPS version appears in Advanced Settings right lower corner
CIE-5025,[Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]ICPS doesnt support Windows theme Dark mode,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]ICPS doesnt support Windows theme Dark mode
CIE-5036,[Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]ICPS shows English recommendation in Notification Tab on Simplified Chinese system,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]ICPS shows English recommendation in Notification Tab on Simplified Chinese system
CIE-5146,[Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]ICPS v4.0 UI doesnt support two-finger scroll and mouse wheel scroll,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]ICPS v4.0 UI doesnt support two-finger scroll and mouse wheel scroll
CIE-5163,[Dynabook][ICPS][Dynabook][ICPS]Sometimes The network shows connected status in ICPS if press connect button but no passcode entered.,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Dynabook][ICPS][Dynabook][ICPS]Sometimes The network shows connected status in ICPS if press connect button but no passcode entered.
CIE-5751,[HP/SIO2345991/Win11/ARL/GfP2/Agusta] The description in Help/Bluetooth page is not same as the Bluetooth page shows.,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [HP/SIO2345991/Win11/ARL/GfP2/Agusta] The description in Help/Bluetooth page is not same as the Bluetooth page shows.
CIE-6147,[HP/SIO2354747/Win11/ARL/GfP2/Agusta] The original BT device name cannot be display after edited the device name.,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [HP/SIO2354747/Win11/ARL/GfP2/Agusta] The original BT device name cannot be display after edited the device name.
CIE-6527,[Lenovo][LunarLake][BE201][24H2][10%][ICPS4.0]ICPS v4.1025.207.1 cant be launched intermittently,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][LunarLake][BE201][24H2][10%][ICPS4.0]ICPS v4.1025.207.1 cant be launched intermittently
CIE-7032,[Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]The SC font is incorrect in ICPS Advanded Settings UI.,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]The SC font is incorrect in ICPS Advanded Settings UI.
CIE-7034,[Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]The Downloads bar in ICPS Usage Details page isnt shown correctly,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]The Downloads bar in ICPS Usage Details page isnt shown correctly
CIE-7036,[Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]ICPS UI issues in Advanced Settings,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]ICPS UI issues in Advanced Settings
CIE-7038,[Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]Some contents in ICPS Help is not localized,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]Some contents in ICPS Help is not localized
CIE-7093,[Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]The steaming category is shown abnormally in ACM UI.,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]The steaming category is shown abnormally in ACM UI.
CIE-7170,"[HP/SIO2382032/Win11/LNL/FmP2/Machu] The button ""Reset"" all settings to default does not works.",User Interface->Intel Connectivity Performance Suite,84,"[COMPONENT=User Interface->Intel Connectivity Performance Suite] [HP/SIO2382032/Win11/LNL/FmP2/Machu] The button ""Reset"" all settings to default does not works."
CIE-7508,[HP/SIO2332841/Win11/ARL/GfP2/Machu] Network Performance did not follow Manually Configure Connection Settings when only change one category,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [HP/SIO2332841/Win11/ARL/GfP2/Machu] Network Performance did not follow Manually Configure Connection Settings when only change one category
CIE-7523,[Lenovo][MeteorLake][AX211][24H2][100%][ICPS4.0]Connection failed will be shown when click AP to connect,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][MeteorLake][AX211][24H2][100%][ICPS4.0]Connection failed will be shown when click AP to connect
CIE-7644,"[ASUS] After updating and restarting the ICPS APP,  system displays a version recommendation dialog box.",User Interface->Intel Connectivity Performance Suite,84,"[COMPONENT=User Interface->Intel Connectivity Performance Suite] [ASUS] After updating and restarting the ICPS APP,  system displays a version recommendation dialog box."
CIE-7943,[Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]The cursor makes a wrong jump when editing SSID and Password for VR Mode,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]The cursor makes a wrong jump when editing SSID and Password for VR Mode
CIE-8316,[ASUS][UX5406SA][BE201] Failure occurs when running Color Contrast analyzer in ICPS app.,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [ASUS][UX5406SA][BE201] Failure occurs when running Color Contrast analyzer in ICPS app.
CIE-8708,"[ASUS][UX5406SA][BE201] selecting the ""Desert"" theme, the version number in the upper right corner of the Intel Connectivity Performance Suite window is not clearly visible.",User Interface->Intel Connectivity Performance Suite,84,"[COMPONENT=User Interface->Intel Connectivity Performance Suite] [ASUS][UX5406SA][BE201] selecting the ""Desert"" theme, the version number in the upper right corner of the Intel Connectivity Performance Suite window is not clearly visible."
CIE-8710,[ASUS][UX5406SA][BE201] Failure occurs when running Live Inspect test in ICPS ap,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [ASUS][UX5406SA][BE201] Failure occurs when running Live Inspect test in ICPS ap
CIE-8714,"[ASUS][UX5406SA][BE201] When Accessibility->Text size is set to 200%, the prompt window that appears when launching ICPS is not fully displayed.",User Interface->Intel Connectivity Performance Suite,84,"[COMPONENT=User Interface->Intel Connectivity Performance Suite] [ASUS][UX5406SA][BE201] When Accessibility->Text size is set to 200%, the prompt window that appears when launching ICPS is not fully displayed."
CIE-8716,[ASUS][UX5406SA][BE201] Failure occurs when running Live Inspect with Narrators Accessibility in ICPS app.,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [ASUS][UX5406SA][BE201] Failure occurs when running Live Inspect with Narrators Accessibility in ICPS app.
CIE-9737,"[ASUS][UX5406AA][BE201] Open Settings -> Accessibility -> Text size and switch to 200%. The text, icons, and other elements on various pages within the Intel Connectivity Performance Suite app do not change.",User Interface->Intel Connectivity Performance Suite,84,"[COMPONENT=User Interface->Intel Connectivity Performance Suite] [ASUS][UX5406AA][BE201] Open Settings -> Accessibility -> Text size and switch to 200%. The text, icons, and other elements on various pages within the Intel Connectivity Performance Suite app do not change."
CIE-9749,"[ASUS][UX5406AA][BE201] Launch the Intel Connectivity Performance Suite app and minimize the window width to the smallest size. On the Usage Detail page, some characters are truncated without horizontal scrolling.",User Interface->Intel Connectivity Performance Suite,84,"[COMPONENT=User Interface->Intel Connectivity Performance Suite] [ASUS][UX5406AA][BE201] Launch the Intel Connectivity Performance Suite app and minimize the window width to the smallest size. On the Usage Detail page, some characters are truncated without horizontal scrolling."
CIE-998,[HP/Win10/ADL-P/GfP2/Thanos] ICPS cannot be minimized when maximize it and click it on the taskbar.,User Interface->Intel Connectivity Performance Suite,84,[COMPONENT=User Interface->Intel Connectivity Performance Suite] [HP/Win10/ADL-P/GfP2/Thanos] ICPS cannot be minimized when maximize it and click it on the taskbar.
WIFI-116864,[Dell]TyP2 6GHz output power change on conductive test (3/19 and 4/16),FW->PHY,69,[COMPONENT=FW->PHY] [Dell]TyP2 6GHz output power change on conductive test (3/19 and 4/16)
WIFI-119581,[ASUS PCBU][X3400PA][Tigerlake HU][JfP2/9560][v22.30.0.11]WLAN yellow bang while reboot aging,FW->PHY,69,[COMPONENT=FW->PHY] [ASUS PCBU][X3400PA][Tigerlake HU][JfP2/9560][v22.30.0.11]WLAN yellow bang while reboot aging
WIFI-134765,[Realme][HUAQIN][Intel TGL][intel 9560][21H1]The test value of AC mode 80m bandwidth of WiFi is far lower in 22.60.0.6 version when we testing the T-PUT conduction of AC9560 module.,FW->PHY,69,[COMPONENT=FW->PHY] [Realme][HUAQIN][Intel TGL][intel 9560][21H1]The test value of AC mode 80m bandwidth of WiFi is far lower in 22.60.0.6 version when we testing the T-PUT conduction of AC9560 module.
WIFI-139160,"[HONOR][HUAQIN][HiggsE][Intel TGL][Intel AX201][21H1][WIFI] Install the WiFi driver?22.50 or 22.60) to test DRTU, the conduction power decreased.",FW->PHY,69,"[COMPONENT=FW->PHY] [HONOR][HUAQIN][HiggsE][Intel TGL][Intel AX201][21H1][WIFI] Install the WiFi driver?22.50 or 22.60) to test DRTU, the conduction power decreased."
WIFI-143081,[ASUS PCBU][Customer Complaint Case][X571GT][Coffeelake H][9560][22.40.0.7]Unexpected yellow bang of the WLAN device at user experience,FW->PHY,69,[COMPONENT=FW->PHY] [ASUS PCBU][Customer Complaint Case][X571GT][Coffeelake H][9560][22.40.0.7]Unexpected yellow bang of the WLAN device at user experience
WIFI-146365,[Intel-SPG][FXN][PN] Wi-Fi randomly disconnect while idle UUT overnight.,FW->PHY,69,[COMPONENT=FW->PHY] [Intel-SPG][FXN][PN] Wi-Fi randomly disconnect while idle UUT overnight.
WIFI-156021,[HP/SIO2005266/Win11/GfP4/Dashiell] WLAN driver lost in DM after online video overnight with BT mouse connected,FW->PHY,69,[COMPONENT=FW->PHY] [HP/SIO2005266/Win11/GfP4/Dashiell] WLAN driver lost in DM after online video overnight with BT mouse connected
WIFI-163292,Internal error occurs in the Event Viewer when connecting to a specific AP,FW->PHY,69,[COMPONENT=FW->PHY] Internal error occurs in the Event Viewer when connecting to a specific AP
WIFI-183222,(Copy Of 00670721) [Dell_Compal_AugustaMLK_CML]WLAN (Intel AX201) disconnecting intermittently,FW->PHY,69,[COMPONENT=FW->PHY] (Copy Of 00670721) [Dell_Compal_AugustaMLK_CML]WLAN (Intel AX201) disconnecting intermittently
