technology_key,ips_title,predicted_category,jira_title
bt,BE200 bluetooth audio offload cant work,Connectivity,The system cannot be wake up from MS when the system resumed from S4 and then enter into MS(0x9F occurred)
software,ICPS is being uninstalled unexpectedly during the DASH process,ICPS,
bt,BT Device lose issue occurred during the S4   fail rate: 2/109U,Connectivity,
bt,cant change mic input volume,System Hang,"Mobile hotspot->Share over Select BT,  Fatal exception (100%) (Anchor Issue BT-327293)"
wifi,BSOD 0x9F when doing S4 test,BSOD,
wifi,WIFI S4 stress ping fail,Connectivity,
bt,"BT Headset disconnect automatically during file transfer via BT and show ""Bluetooth file transfer not completed"".",Connectivity,
bt,Broadcast sending failed,Connectivity,
software,3 MSFT websites cant be opened with ICPS installed upon IPv6,ICPS,
wifi,Unstable Wi-Fi causing frequent disconnects analysis,Connectivity,Cannot wake the system from modern standby via WLAN with Intel BE200.
wifi,"The external monitor disconnected after play back online video overnight after connect monitor via WIDI adapter.(FR:2/2units, 2/2trails)",Connectivity,Wi-Fi device shows 0x38 error code During OOBE
wifi,The wifi driver YB issue after the S4 wakes up. Fail rate: 1/10 units,YB/Lost,
bt,Occur BSOD 9f point to ibtusb after reboot system.,BSOD,
wifi,The wifi device YB resuming from S4,YB/Lost,DUT BSOD 0x9f while running Winpvt Hibernate Focus. (FR: 1/25) - Debug Config for S5 Command resulted to Loop of resets in FW
bt,File transfer via BT will auto interrupt.(Intel BE201),Connectivity,
bt,Sound output from BT headphone is serious lag with noise after playback music about 30s via media player.(Intel BE201),YB/Lost,
bt,Bluetooth headset does not find input device,Connectivity,
wifi,"During the game, the wifi network disconnection",Connectivity,
wifi,Disconnection on missed beacons occurs even if RX data frames is received,Connectivity,
wifi,"The network  disconnected during wechat video callevent log show wifi ""5002"". Fail rate: 1/109  units",YB/Lost,In the Signaling test The AX211 Blazar   Aux(Chain A) port conducted RX  sensitivity very low and not meet EPS
bt,BLE broadcast not found,Connectivity,
bt,BT fw crash,Connectivity,"[Lenovo-IdeaPad/LCFC][Sunrise/LNL/BE201][24H2][USB] The Unit shows Item Not Found"" when copy file from the shared folder via access BT IP address. [LMP Error Transaction Collision]"
bt,An error occurs on youtube and a few later the video started but no sound from the Buds3,Connectivity,
wifi,Killer Intelligence Center Smart AP issues,Killer,
bt,Cannot scan LE Audio headset,Connectivity,
wifi,WIFI Driver assert cause to WIFI disconnect,YB/Lost,BSOD 0x9F_3_Netwaw16_IMAGE_pci.sys after turning off Wifi in BIOS setup
wifi,BSOD 0x9F during S4 test,BSOD,BT device Lost during Hibernation/shutdown heatrun test - Signature Verification Fail
wifi,WLAN device shows YB after resuming from ModernStandby.,YB/Lost,
wifi,"System reported WHEA errors at event log: ""Error Source: Advanced Error Reporting (PCI Express)"" related with BE200 card.",BSOD,
wifi,WLAN device shows YB after resuming from S3.,YB/Lost,Intel BT PCI Enumerator show YB after Force Shutdown (long press power key 10 sec) with enable AMT (PP2/LP3) in AC mode
wifi,The unit can search 165 channel AP for Indonasia image.,Connectivity,
wifi,OS Wi-Fi Jobs Joined DataPathWake,Connectivity,
software,Wrong network interface icon in KILLER when play PPTV and Bit Torrent download,Killer,
tools,Add brd file xsum in HDR,OEM Tools,
wifi,Intel WLAN card shows device YB during connection process or doing S4,YB/Lost,
wifi,Cannot enable SPD function,Connectivity,
wifi,HW violation and URM SW solution request,Connectivity,
software,"After updating ICPS from 4.1025.325.6 to 40.25.501.145 using the .exe installer, the Add/Remove programs indicates that older UWD drivers failed to be uninstalled.",ICPS,ANT tool NOT able to read WiFi PPAG
software,Windows security error of unsigned driver occurred while installing ICPS using the 40.25.501.14512.exe installer,ICPS,
software,Hotspot NuGets fails to find correct IntelConnectIPC assembly from NuGet,Killer,
software,Killer Overclock feature missing Mobile unlocked SKUs,Killer,"Once the PC wakes up, it stays awake even if there is no movement around the PC."
software,Services issues after installation,Killer,
software,The OC Unavailable reason is incorrect on invalid ARL platform,Killer,
software,Screen Reader: Dashboard Pane - Smart AP Icon is read as Real Result,Killer,HP SIP125519 - EB830G9 (Warpath13)/Bank Indonesia/GA/ Intel AX211 WLAN Roaming Issue/PC APJ/ID
software,Screen Reader: Main Navigation Pane - No item numbering for the different options,Killer,
software,Privacy OFF / no IWSDK support Missing Popup,Killer,
software,"""DoubleShot Pro"" button can switch on/off when there is no Killer Ethernet connected",Killer,
software,"Need two times to apply bandwidth limitation to take effect in ""Set Bandwidth"" page",Killer,FW assert 0x20100505 happening cause to tpt measurement using Chariot stop
software,"SpeedTest is empty screen for few second when enter ""Set Bandwidth"" page",Killer,SIP125437 ZB Firefly 14 G10 Intel ICPS - IPV6 connection issues
software,"""Set Bandwidth"" page is not follow theme setting and its always dark theme",Killer,
software,The steaming category is shown abnormally in ACM UI.,Killer,"[Lenovo_IdeaPad/LCFC][Hermes/ARL-HX/GfP2/AX211] BLE Headset auto disconnect after paired or play music use media player, 3/3Units, 1/10cycles.  [DCL Timeout]"
software,The steaming category is shown abnormally in ACM UI.,Killer,
software,"Notification ""Item removed successfully"" is not localized on Simplified Chinese system.",Killer,ICPS is being uninstalled unexpectedly during the DASH process
software,- CID 4013421: Explicit null dereferenced,Killer,
software,Coverity - CID 4013420:  Explicit null dereferenced,Killer,
software,CID 4009661:  Dereference after null check,Killer,BSOD 0x9F when doing S4 test
software,CID 4009660: Dereference before null check,Killer,
software,Coverity - CID 3912007: Dereference before null check,Killer,
software,Cannot run OverClocking feature on Acer ARL gaming laptop,Killer,
software,Coverity - CID 3912007: Dereference before null check (REVERSE_INULL),Killer,3 MSFT websites cant be opened with ICPS installed upon IPv6
software,Coverity - CID 241215: Uncaught exception,Killer,
software,Bandwidth limitation is not taking effect after prioritization on/off/on cycle in settings,Killer,
software,Crash occurred when navigate Killer UI from different page to Setting,Killer,The wifi driver YB issue after the S4 wakes up. Fail rate: 1/10 units
software,"UI is cut in ""Set Bandwidth"" page",Killer,Occur BSOD 9f point to ibtusb after reboot system.
software,"Crash occurred when click ""GameFast"" in Settings",Killer,The wifi device YB resuming from S4
software,Killer control center cant detect VALORANT / LOL online game in Tencent platform,Killer,
software,Auto mode for colors runs high contrast instead of light/dark mode,Killer,
software,Exception thrown in ICPS.exe,ICPS,
software,AutoProfilerTest.exe,Killer,"During the game, the wifi network disconnection"
software,No Dark/Light mode description in ICPS Help,ICPS,Disconnection on missed beacons occurs even if RX data frames is received
software,"No description of ""Enable Additional Network Selection Features"" in ICPS Help",ICPS,"The network  disconnected during wechat video callevent log show wifi ""5002"". Fail rate: 1/109  units"
software,Display of Download traffic is incorrect in Usage Details tab,Killer,
software,Coverity Issue - Out of bounds write,Killer,
software,Coverity Issue - Dereference before null check,Killer,
software,Cannot run ICPS due to invalid configuration error on MTL RVP,ICPS,
software,Advanced Settings include Low Power Mode toggle,Killer,
software,Network auto switch is stuck,Killer,
software,No pop-up notification about switching to better network when ICPS is doing network auto switch,ICPS,
software,4.0 Receiving older values for processdomains,Killer,
software,"No description of ""Enable Additional Network Selection Features"" in ICPS Help",ICPS,
software,AP selection (same SSID) take 3~4 mins to complete AP switch sometimes,Killer,
software,Auto Bandwidth Not Configured,Killer,
software,ICPS UI font for SC is not localized,ICPS,
software,ICPS ACM Inccorect Prioritization mode with manual interface routing selected,ICPS,Wrong network interface icon in KILLER when play PPTV and Bit Torrent download
software,"ICPS cannot work due to error ""ICPS is unable to run on your configuration""",ICPS,
software,ICPS UI Usage Details Traffic By Category,ICPS,Add brd file xsum in HDR
software,Elevation of Privileges through DLL Hijacking,Killer,Intel WLAN card shows device YB during connection process or doing S4
software,Elevation of Privileges through DLL hijack,Killer,Cannot enable SPD function
software,AI Aware Domain Categorization as AI Errors,Killer,HW violation and URM SW solution request
software,App Dir DLL hijacking (ISSetup.dll),Killer,"After updating ICPS from 4.1025.325.6 to 40.25.501.145 using the .exe installer, the Add/Remove programs indicates that older UWD drivers failed to be uninstalled."
software,Delay KILLERs execution when startup to meet MSFTs Fast Startup test,Killer,Windows security error of unsigned driver occurred while installing ICPS using the 40.25.501.14512.exe installer
software,Change VR Network Status Polling Time,Killer,Hotspot NuGets fails to find correct IntelConnectIPC assembly from NuGet
software,ICPS 4.0 CCSV Install Failed,ICPS,Killer Overclock feature missing Mobile unlocked SKUs
software,Streaming prioritization is not work when play 4K Youtube video (laggy) and background traffics are ongoing (iperf + Steam Game download),Killer,Services issues after installation
software,Killer unable to correctly classify the whitelisted website as belonging to the download category.,Killer,The OC Unavailable reason is incorrect on invalid ARL platform
software,Wrong network interface icon in KILLER when play PPTV and Bit Torrent download,Killer,Screen Reader: Dashboard Pane - Smart AP Icon is read as Real Result
software,[ AI Aware: ChatGPT & other AI URL not recognized with proxy script,Killer,Screen Reader: Main Navigation Pane - No item numbering for the different options
software,ICPS crash when just one LE earbud is connected,ICPS,Privacy OFF / no IWSDK support Missing Popup
software,Intel Killer Intelligence Center wont respond,Killer,"""DoubleShot Pro"" button can switch on/off when there is no Killer Ethernet connected"
software,BT description was incorrect on Help tab.,Killer,"Need two times to apply bandwidth limitation to take effect in ""Set Bandwidth"" page"
software,ICPS Manual Interface configuration does not work,ICPS,"SpeedTest is empty screen for few second when enter ""Set Bandwidth"" page"
software,Error in services activation causes a reboot after install / re-install / uninstall ICPS,ICPS,"""Set Bandwidth"" page is not follow theme setting and its always dark theme"
bt,Tx Timeout and SHR during playing music and S4 stress.,Connectivity,The steaming category is shown abnormally in ACM UI.
bt,"No sound output from Sony BT speaker with audio offload enablement,100% fail rate.",Connectivity,The steaming category is shown abnormally in ACM UI.
bt,<IGNORE>>Dummy Jira To Check we if Make a Customer Bug Child of Internal,Connectivity,"Notification ""Item removed successfully"" is not localized on Simplified Chinese system."
bt,AX211 Bluetooth shows YB after idle system 8~12 hrs.,YB/Lost,- CID 4013421: Explicit null dereferenced
bt,BT will have device lost during S4 long run. (Signature Verification Failure),Connectivity,Coverity - CID 4013420:  Explicit null dereferenced
bt,Dell WL5024 has abnormal disconnection while doing teams call test. (LMP Response Timeout),Connectivity,CID 4009661:  Dereference after null check
bt,"LE Ext Adv scan result delay more than 20s+ sometime, very low performance compare with MTK chipset with BT24.10PV",Connectivity,CID 4009660: Dereference before null check
bt,BT icon mis-align after APM on/off with W_disabled#2,Connectivity,Coverity - CID 3912007: Dereference before null check
bt,Intel LNL RVP + GaP discrete offload fail to work (music no sound),Connectivity,Cannot run OverClocking feature on Acer ARL gaming laptop
bt,Metallic sound occurred immediately after switched to recording tab,Connectivity,Coverity - CID 3912007: Dereference before null check (REVERSE_INULL)
bt,System exits S4 automatically after entering with BE213 Bluetooth on Windows 11 25H2,Connectivity,Coverity - CID 241215: Uncaught exception
bt,Remove Duplicate Entires in the ibtpciinf,Connectivity,Bandwidth limitation is not taking effect after prioritization on/off/on cycle in settings
bt,Connect  BT headset failed due to authentication failure (0x05),BSOD,Crash occurred when navigate Killer UI from different page to Setting
bt,Media playback fails after repeated Bluetooth headset connect/disconnect cycles on Panther Lake (BT),YB/Lost,"UI is cut in ""Set Bandwidth"" page"
bt,Pelican Peak 2 hW ID in PV Bluetooth INF,Connectivity,"Crash occurred when click ""GameFast"" in Settings"
bt,Game controller S4/Resume cant automatically connect 100% fail rate,OEM Tools,Killer control center cant detect VALORANT / LOL online game in Tencent platform
bt,PC can not find target device in shielding room with 100%,Connectivity,Auto mode for colors runs high contrast instead of light/dark mode
bt,The system will automatically wake up after entering S4. FR:100%,Connectivity,Exception thrown in ICPS.exe
bt,BT Recovery Failure After PLDR (Device Manager Err Code 54),YB/Lost,AutoProfilerTest.exe
software,"- Header is missing under ""Advanced Settings"" tab",Killer,No Dark/Light mode description in ICPS Help
software,#NAME?,Killer,"No description of ""Enable Additional Network Selection Features"" in ICPS Help"
software,"- Under ""Advanced Setting"" all buttons appear on the left side of the text",Killer,Display of Download traffic is incorrect in Usage Details tab
software,#NAME?,Killer,Coverity Issue - Out of bounds write
software,"- Upon changing BT device name under ""Bluetooth"" tab there is no ""submit"" button to approve the name change",Killer,Coverity Issue - Dereference before null check
software,"- Lisf of Apps under ""Usage Details"" tab is keep changing without any user intervention.",Killer,Cannot run ICPS due to invalid configuration error on MTL RVP
software,"- ""Reset Recommendation"" button under Advanced Settings tab isnt applicable",Killer,Advanced Settings include Low Power Mode toggle
software,Slow response and freezes,Killer,Network auto switch is stuck
software,Info page shows unrelated information for Ethernet/Wifi,Killer,No pop-up notification about switching to better network when ICPS is doing network auto switch
software,The text does not wrap to fit the window size in Bluetooth page,Killer,4.0 Receiving older values for processdomains
bt,BT device lost when running Reboot aging test with prepaired Keyboard connected. (LP_WAIT_RX_TX_DOWN_RUN_ERROR 0x01 M&R 0x002f),YB/Lost,"No description of ""Enable Additional Network Selection Features"" in ICPS Help"
bt,"BT Error recovery failed, BT YB",YB/Lost,AP selection (same SSID) take 3~4 mins to complete AP switch sometimes
bt,Can not play music after BT Off/On then reconnect BT headset,Connectivity,Auto Bandwidth Not Configured
bt,ibtpci BSOD 0x133 (  DPC_WATCHDOG_VIOLATION) when Benchmark stress test,BSOD,ICPS UI font for SC is not localized
bt,Intel(R) Wireless Dual Bluetooth(R) Device YB during Modern Standby - Recovery failure,YB/Lost,ICPS ACM Inccorect Prioritization mode with manual interface routing selected
bt,BLE : GATT transmit data in one way direction shows inconsistent times within SCI (short connection interval) for 15 msI - 15ms),Connectivity,"ICPS cannot work due to error ""ICPS is unable to run on your configuration"""
bt,DRTU tool was workable but BT function gray out.,Connectivity,ICPS UI Usage Details Traffic By Category
bt,0x9F BSOD(ibtpci.sys) occurred during test.(F/R: No additional failures observed since the initial 2 BSODs),BSOD,Elevation of Privileges through DLL Hijacking
bt,[Surface][PTL+FmP2][24.0.1.1][PHY]Failing - RF/TRM/CA/BV-16-C [EDR Synchronization Sequence and Trailer],RF,Elevation of Privileges through DLL hijack
bt,DUT hang occurs only when BIOS starts with UEFI BLE Driver During Sx testing,System Hang,AI Aware Domain Categorization as AI Errors
bt,BT YB with high fail rate when Samsung launch Samsung DRTU test case in 404 4Xe3 - CNVI_AUX_A2A_EXCEPTION_IRQ,YB/Lost,App Dir DLL hijacking (ISSetup.dll)
bt,"CFE lab stress test S5 observed BT Exception (able to recovery) (Module: BC_Complex , Error ID: ERR_ID_LP_WAIT_RX_TX_DOWN_RUN_ERROR)",Connectivity,Delay KILLERs execution when startup to meet MSFTs Fast Startup test
bt,"DRTU ""BT Linked mode"" malfunction in 404 4Xe3",Connectivity,Change VR Network Status Polling Time
bt,"Enable ""BT Linked mode"" on DRTU lead to BT YB and DRTU get malfunction with 100%",YB/Lost,ICPS 4.0 CCSV Install Failed
bt,"APT Timeout issue observed due to missing LLCP Ping Request when multiple BT devices are connected., FR: 1/1Unit, 3/3Cycles",Connectivity,Streaming prioritization is not work when play 4K Youtube video (laggy) and background traffics are ongoing (iperf + Steam Game download)
bt,Yellow Bang on BT (code 31) during S4 circles,YB/Lost,Killer unable to correctly classify the whitelisted website as belonging to the download category.
bt,Bt ext driver  failed to send broadcast when sharing via Honor Manager,Connectivity,Wrong network interface icon in KILLER when play PPTV and Bit Torrent download
bt,"BT YB in S4/S5 cycling, fail rate 15% during S4 or cold boot.",YB/Lost,[ AI Aware: ChatGPT & other AI URL not recognized with proxy script
bt,Intel Bluetooth Application Service  related to BT new APIs get grey with 100% after resume from sleep when turn off BT power saving from DM..,Power Consumption,ICPS crash when just one LE earbud is connected
bt,Dell WL5024 has disconnection during voice call.,Connectivity,Intel Killer Intelligence Center wont respond
bt,BT device yellow bar (error code 31during idle test (Fail rate1/2 u) - WdfDmaEnblerCreate failed: C0000001,Connectivity,BT description was incorrect on Help tab.
bt,ibtpci BSOD 0x133 when Benchmark stress test,BSOD,ICPS Manual Interface configuration does not work
bt,Intel BT PCI Enumerator show YB after Force Shutdown (long press power key 10 sec) with enable AMT (PP2/LP3) in AC mode,YB/Lost,Error in services activation causes a reboot after install / re-install / uninstall ICPS
bt,"Remove pair device from HEADSET side, host will aggressively attempt the reconnection.",Connectivity,Tx Timeout and SHR during playing music and S4 stress.
bt,BLE launch fail,Connectivity,"No sound output from Sony BT speaker with audio offload enablement,100% fail rate."
bt,BLE : GATT transmit data in one way direction shows inconsistent times within SCI (short connection interval) for 15 msI - 15ms),Connectivity,<IGNORE>>Dummy Jira To Check we if Make a Customer Bug Child of Internal
bt,BT YB observed with error code 31 during Wi-Fi test -WdfDmaEnblerCreate failed: C0000001,YB/Lost,AX211 Bluetooth shows YB after idle system 8~12 hrs.
bt,"BT audio playback failed  ""Format Not Supported""",YB/Lost,BT will have device lost during S4 long run. (Signature Verification Failure)
bt,Teams call L and R earcup render not synced,Connectivity,Dell WL5024 has abnormal disconnection while doing teams call test. (LMP Response Timeout)
bt,BT YB after CB/S4/WB/S0i3 due to Fatal Exception on LC complex with Error ID 27 00 . (F/R: 2/2u;1/30c),YB/Lost,"LE Ext Adv scan result delay more than 20s+ sometime, very low performance compare with MTK chipset with BT24.10PV"
bt,DUT scan airpods device with slow availability.,Performance,BT icon mis-align after APM on/off with W_disabled#2
bt,Unable to install Bluetooth test mode driver for DRTU/CITU,Connectivity,Intel LNL RVP + GaP discrete offload fail to work (music no sound)
bt,"BT device lost in S4 cycling test  due to ""Signature verification failed""",Connectivity,Metallic sound occurred immediately after switched to recording tab
bt,BT will 100% YB after paired classic headset,YB/Lost,System exits S4 automatically after entering with BE213 Bluetooth on Windows 11 25H2
bt,23.160 ibterverify fail to work on product reset test,Connectivity,Remove Duplicate Entires in the ibtpciinf
bt,BT tile not launching,Connectivity,Connect  BT headset failed due to authentication failure (0x05)
bt,[HP][SnowWhite/LNL/FmP][PCIe] Bluetooth LE Mouse can not be used during connected state. - [Connection timeout],Connectivity,Media playback fails after repeated Bluetooth headset connect/disconnect cycles on Panther Lake (BT)
bt,Swift Pair notification pop up delayed.,Connectivity,Pelican Peak 2 hW ID in PV Bluetooth INF
bt,BT YB after WB,YB/Lost,Game controller S4/Resume cant automatically connect 100% fail rate
bt,Unit shows error when copy file from the shared folder via PAN due to system exception.,Connectivity,PC can not find target device in shielding room with 100%
bt,SYSTEM EXCEPTION Occurred in controller trigger BT reset  and BT headset disconnect.,Connectivity,The system will automatically wake up after entering S4. FR:100%
bt,"LE Ext Adv scan result delay more than 20s+ sometime, very low performance compare with MTK chipset.",Performance,BT Recovery Failure After PLDR (Device Manager Err Code 54)
bt,The first ADV packet was sent with incorrect payload sometimes,Connectivity,"- Header is missing under ""Advanced Settings"" tab"
bt,[HP][SnowWhite/LNL/FmP][PCIe] Bluetooth LE Mouse can not be used during connected state. - [Connection timeout],Connectivity,#NAME?
bt,"Observed local music media player error code, and can not recovery until BT off->on",Connectivity,"- Under ""Advanced Setting"" all buttons appear on the left side of the text"
bt,BT PLDR high ratio puts WIFI on the red zone,YB/Lost,#NAME?
bt,BT fatal exception when S4 stress test overnight (1/400) - BC_EXC_UNEXPECTEDLY_ALLOCATED_BUFFER,Connectivity,"- Upon changing BT device name under ""Bluetooth"" tab there is no ""submit"" button to approve the name change"
bt,"Quick Share search nearby devices, no LE ADV reported from BT controller for sometime.",Connectivity,"- Lisf of Apps under ""Usage Details"" tab is keep changing without any user intervention."
bt,"The Unit shows Item Not Found"" when copy file from the shared folder via PAN.  (BC_EXC_LP_TX_RX_DOWN_TO_ERROR)",Connectivity,"- ""Reset Recommendation"" button under Advanced Settings tab isnt applicable"
bt,"BT FW exception when make BT scan with SMONO feature (LC_Complex 0x08 , error code 09 07 )",BSOD,Slow response and freezes
bt,BT device lost in S4 cycling test ( Fast startup),Connectivity,Info page shows unrelated information for Ethernet/Wifi
bt,CFE UX lab has exception during daily verification.,Connectivity,The text does not wrap to fit the window size in Bluetooth page
bt,"[Lenovo-IdeaPad/LCFC][S5x0-16pro_BE/ARL_H/BE201/AX203] The Unit shows ""Item Not Found"" when copy file from the shared folder via PAN. [Connection Rejected Due To Security Reasons]",Connectivity,BT device lost when running Reboot aging test with prepaired Keyboard connected. (LP_WAIT_RX_TX_DOWN_RUN_ERROR 0x01 M&R 0x002f)
bt,LE mouse failed to connect through SwiftPair,Connectivity,"BT Error recovery failed, BT YB"
bt,"DUT receive few LE adv extension packets from mobile phone compared with with other mobile devices( Still scannable, just may take little longer)",Connectivity,Can not play music after BT Off/On then reconnect BT headset
bt,OS will auto reconnect headset if remote device terminate PC connection with reason 0x14,BSOD,TOP Fatal Error during S4 Stress - MASTER_SCU_R_FATAL_ERROR
bt,Occasionally host route the headset over Classic audio,Connectivity,ibtpci BSOD 0x133 (  DPC_WATCHDOG_VIOLATION) when Benchmark stress test
bt,Random recoverable asserts occur during normal usage,YB/Lost,Intel(R) Wireless Dual Bluetooth(R) Device YB during Modern Standby - Recovery failure
bt,Host disconnects headset LE ACL after paired to the PC,Connectivity,BLE : GATT transmit data in one way direction shows inconsistent times within SCI (short connection interval) for 15 msI - 15ms)
bt,Teams call and mouse clicks during S0,Connectivity,DRTU tool was workable but BT function gray out.
bt,remote BLE devices connection timeout disconnection (FR: 3 times out of 4 days test.),Connectivity,0x9F BSOD(ibtpci.sys) occurred during test.(F/R: No additional failures observed since the initial 2 BSODs)
bt,[CFE Internal][Lenovo][LNL/FmP/24H2][PCIe] Fatal exception during Playback and Mouse click.  [LC_ERR_SCH_CURR_NEXT_JOB_INDXBC_SAME],YB/Lost,[Surface][PTL+FmP2][24.0.1.1][PHY]Failing - RF/TRM/CA/BV-16-C [EDR Synchronization Sequence and Trailer]
bt,S4 test - BT lost with Error! DMA failed. (FR 1/20) - SC_EXC_UNHANDELED_EXTERNAL_EXCEPTION / LC_EXC_TX_RETRV_PKT_HDR_JOB_PTR_NULL,Connectivity,DUT hang occurs only when BIOS starts with UEFI BLE Driver During Sx testing
bt,"The Unit shows Item Not Found"" when copy file from the shared folder via PAN.",Connectivity,BT YB with high fail rate when Samsung launch Samsung DRTU test case in 404 4Xe3 - CNVI_AUX_A2A_EXCEPTION_IRQ
bt,BIOS hang during post - Fix the Hang issue in BTVndDrivier,System Hang,Enif preset can not capture proper driver logs during reboot stress with fatal exception.
bt,Fatal Exception 0x1B00 (BC_EXC_UNEXPECTEDLY_ALLOCATED_BUFFER) while doing S4 + classic headset music playback test,YB/Lost,"CFE lab stress test S5 observed BT Exception (able to recovery) (Module: BC_Complex , Error ID: ERR_ID_LP_WAIT_RX_TX_DOWN_RUN_ERROR)"
bt,: BIS#1 sending empty packets while broadcast streaming with 24_1 config,Connectivity,"DRTU ""BT Linked mode"" malfunction in 404 4Xe3"
bt,23.130 BT driver fail to support BIOS tool and ANT tool together on BT PPAG feature,Connectivity,"Enable ""BT Linked mode"" on DRTU lead to BT YB and DRTU get malfunction with 100%"
bt,"Accessory supporting ""render only"", switch to recording tab end up no sound",Connectivity,"APT Timeout issue observed due to missing LLCP Ping Request when multiple BT devices are connected., FR: 1/1Unit, 3/3Cycles"
bt,UI not responsive after disconnect reconnect BT HID,Connectivity,Yellow Bang on BT (code 31) during S4 circles
bt,: Audio glitch + mouse lag when connected 3 LE devices + 1 BR/EDR connection in conjested environment,Performance,Bt ext driver  failed to send broadcast when sharing via Honor Manager
bt,: Host issue HCI_LE_Remove_CIG before CIS disconnection,Connectivity,"BT YB in S4/S5 cycling, fail rate 15% during S4 or cold boot."
bt,Observing Fatal Exception On BC Complex with Error 14 00 (BC_EXC_LP_RUN_ERROR) on 23.130Rev1,BSOD,Intel Bluetooth Application Service  related to BT new APIs get grey with 100% after resume from sleep when turn off BT power saving from DM..
bt,1st time pairing is slow(23s+) - compare with Qualcomm solution (~18s)- Gap:5s,Connectivity,Dell WL5024 has disconnection during voice call.
bt,Voice call and LE Mouse clicking observe connection timeout on 23.130.0.1.,Connectivity,BT device yellow bar (error code 31during idle test (Fail rate1/2 u) - WdfDmaEnblerCreate failed: C0000001
bt,BIOS hang during post - To Root cause,System Hang,ibtpci BSOD 0x133 when Benchmark stress test
bt,Voice call and LE Mouse clicking observe connection timeout on 23.120.0.4.,Connectivity,Intel BT PCI Enumerator show YB after Force Shutdown (long press power key 10 sec) with enable AMT (PP2/LP3) in AC mode
bt,BIOS hang during post when UEFI BT enabled,System Hang,"Remove pair device from HEADSET side, host will aggressively attempt the reconnection."
bt,Music streaming and LE Mouse clicking observe connection timeout at BLE headset on 23.120.0.4.,Connectivity,Phone2PC LE connection failure
bt,Observe connection timeout at BR/EDR headset on 23.120.0.4.,Connectivity,BLE launch fail
bt,HP InstaDock - DUT cant be woken from the S4 state with fail rate,OEM Tools,BLE : GATT transmit data in one way direction shows inconsistent times within SCI (short connection interval) for 15 msI - 15ms)
bt,platform do not follow 500ms interval to send InstaDock TX BT beacon,Connectivity,BT YB observed with error code 31 during Wi-Fi test -WdfDmaEnblerCreate failed: C0000001
bt,Mouse click during Voice call or streaming. (Anchor bug: BT-314343),Connectivity,"BT audio playback failed  ""Format Not Supported"""
bt,Fatal exception occurred during device wake up_LC_ERR_CQDH_PERFORM_MEAS_PLINK_NULL,Connectivity,Teams call L and R earcup render not synced
bt,[Lenovo ThinkPad JP/LCFC][Thames2/Mersey2/LNL/BE201][BE] Intel Bluetooth device lost after teams call. [A2dp FIFO flush/SC_ERR_FREE_BLOCK_FAILS],Connectivity,BT YB after CB/S4/WB/S0i3 due to Fatal Exception on LC complex with Error ID 27 00 . (F/R: 2/2u;1/30c)
bt,BSOD 0x9F (ibtpci) encountered during Memory Stress Test on Thames-2 BE with 23.110.0.4 and verifier = ENABLED (5/18 units) - Registry access blocked by NTFS PageFault,BSOD,DUT scan airpods device with slow availability.
bt,CFE lab BT lost on 23.120 rev3 - LC_EXC_LE_GET_TX_BUF_JOB_PTR_NULL,Connectivity,Unable to install Bluetooth test mode driver for DRTU/CITU
bt,CFE lab BT lost on 23.120 rev3 - LC_EXC_TX_RETRV_PKT_HDR_JOB_PTR_NULL,Connectivity,"BT device lost in S4 cycling test  due to ""Signature verification failed"""
bt,BT SAR table in bios ACPI code problem,RF,BT will 100% YB after paired classic headset
bt,LC_ERR_SCH_NO_JOB_PROGRAMMED Recoverable disconnect observed in Teams Call,Connectivity,Exception occurred resuming from S4 - ERR_ID_EVENT_BUF_OVERFLOW_6
bt,[Lenovo ThinkPad JP/LCFC][Thames2/Mersey2/LNL/BE201][BE SVT][PCIe] Intel Wireless Bluetooth YB (Code43) during MS [Unexpected D3],YB/Lost,23.160 ibterverify fail to work on product reset test
bt,Audio mutes for a brief 3-4 secs during a youtube music streaming scenario,Connectivity,BT tile not launching
bt,ABS  - 0x139_a_GUARD_ICALL_CHECK_FAILURE_ibtpci!WlanInterfaceDereference While Device Not in Use,BSOD,[HP][SnowWhite/LNL/FmP][PCIe] Bluetooth LE Mouse can not be used during connected state. - [Connection timeout]
bt,BT lost when running Winpvt-Hibernation Focus - Exception in Clib_Memcpy(),Connectivity,Swift Pair notification pop up delayed.
bt,Device disappear due to exception_BC_EXC_LP_RUN_ERROR,YB/Lost,BT YB after WB
bt,Dell LE headset disconnected after MS resume in 5 mins,Connectivity,Unit shows error when copy file from the shared folder via PAN due to system exception.
bt,Mouse disconnection due to fatal exception_BC_EXC_LP_TX_RX_DOWN_TO_ERROR,Connectivity,SYSTEM EXCEPTION Occurred in controller trigger BT reset  and BT headset disconnect.
bt,Fatal exception during music streaming_SC_EXC_UNHANDELED_EXTERNAL_EXCEPTION,BSOD,"LE Ext Adv scan result delay more than 20s+ sometime, very low performance compare with MTK chipset."
bt,Airpods Pro2 has connection timeout during playback or teams call.,YB/Lost,The first ADV packet was sent with incorrect payload sometimes
bt,Abnormal disconnection and connection failure.,Connectivity,[HP][SnowWhite/LNL/FmP][PCIe] Bluetooth LE Mouse can not be used during connected state. - [Connection timeout]
bt,System exception on BT fw,Connectivity,"Observed local music media player error code, and can not recovery until BT off->on"
