jira_id,ips_title,jira_component,human_category,label_source,pseudo_confidence,sample_weight,feature_text
WIFI-772660,[Samsung][PTL][BE211][P251002-02293] The system can find the 6GHz mobile hotspot even when the systems MCC is set to an unavailable country.,FW->PHY,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=FW->PHY] [Samsung][PTL][BE211][P251002-02293] The system can find the 6GHz mobile hotspot even when the systems MCC is set to an unavailable country.
WIFI-365172,[Huaqin][Samsung][DT6895A_6916A][AX201][RPL][23H2],WinDriver->System flows,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->System flows] [Huaqin][Samsung][DT6895A_6916A][AX201][RPL][23H2]
BT-194974,[Huangxianwei][BT][Huawei][VangogH][MTL][FOT]SCAN_IBT_SET_ADVERTISEMENT_FILTER_ENABLE command to return 31,Host Windows- Driver->ibtusb,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=Host Windows- Driver->ibtusb] [Huangxianwei][BT][Huawei][VangogH][MTL][FOT]SCAN_IBT_SET_ADVERTISEMENT_FILTER_ENABLE command to return 31
WIFI-512812,[Lenovo-DT][Wistron][M90t_PCB1][ARL-S]BE200 read DSM functions failed (F/R: 100%).,3rd Party-BIOS,BIOS,component_to_category_100pct,1.00,0.90,[COMPONENT=3rd Party-BIOS] [Lenovo-DT][Wistron][M90t_PCB1][ARL-S]BE200 read DSM functions failed (F/R: 100%).
BT-173014,[HP][MTL-U][GaP2_QS][Win11 22H2] System occur BSOD 0x9F and Intel WLAN device shows YB after install wlan driver.,Host Windows- Driver->ibtusb,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=Host Windows- Driver->ibtusb] [HP][MTL-U][GaP2_QS][Win11 22H2] System occur BSOD 0x9F and Intel WLAN device shows YB after install wlan driver.
WIFI-104645,"[HP/SIO1945302/Win10/TGL/HrP2/Cyprus] BSOD 0x101 occurred as running Win-PVT Restart,S3,S4 test +AC/DC Cycling.",WinDriver->System flows,YB/Lost,component_to_category_100pct,1.00,0.90,"[COMPONENT=WinDriver->System flows] [HP/SIO1945302/Win10/TGL/HrP2/Cyprus] BSOD 0x101 occurred as running Win-PVT Restart,S3,S4 test +AC/DC Cycling."
WIFI-283151,Dell/Compal][RPL][Nexus][DBS test] Killer1690i DBS test fail in OTA,FW->Data Path,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=FW->Data Path] Dell/Compal][RPL][Nexus][DBS test] Killer1690i DBS test fail in OTA
WIFI-98836,[HP/dogfood/Win10/TGL/JfP2/Ionian] The connection drop when playing online video overnight.,WinDriver->Connectivity,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Connectivity] [HP/dogfood/Win10/TGL/JfP2/Ionian] The connection drop when playing online video overnight.
WIFI-312496,[Lenovo][Wistron][Thinkbook 13X Gen2][GfP2]Intel AX211 show low Wifi connection speed under small amount of data transfer.,WinDriver->Performance,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Performance] [Lenovo][Wistron][Thinkbook 13X Gen2][GfP2]Intel AX211 show low Wifi connection speed under small amount of data transfer.
WIFI-479610,[Lenovo][Wistron][TB14 2-in1 Gen4][Meteor Lake U][AX211&AX203[23H2][100%]ANT always show SAR value of NB mode after boot from Tablet mode.,3rd Party-BIOS,BIOS,component_to_category_100pct,1.00,0.90,[COMPONENT=3rd Party-BIOS] [Lenovo][Wistron][TB14 2-in1 Gen4][Meteor Lake U][AX211&AX203[23H2][100%]ANT always show SAR value of NB mode after boot from Tablet mode.
WIFI-337566,[lenovo][wistron][G3 500W][Pentium][ AX201] [2H1][100%]wlan YB and BT device lost when system in Idle  (Only G3 can recovery).,TOP->FW,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=TOP->FW] [lenovo][wistron][G3 500W][Pentium][ AX201] [2H1][100%]wlan YB and BT device lost when system in Idle  (Only G3 can recovery).
WIFI-397284,[Dynabook] WLAN device show YB after resuming from modern standby,FW->Data Path,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=FW->Data Path] [Dynabook] WLAN device show YB after resuming from modern standby
WIFI-314662,[DELL] AX211 cant connect with 5GHz ch144 in India,System->PHY,RF,component_to_category_100pct,1.00,0.90,[COMPONENT=System->PHY] [DELL] AX211 cant connect with 5GHz ch144 in India
WIFI-600814,[Lenovo/DT][in-house][ARL-S][BE200][TC M90TS-6]Wi-FI cant connect automatically After adding new PCIE device and reboot,WinDriver->System flows,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->System flows] [Lenovo/DT][in-house][ARL-S][BE200][TC M90TS-6]Wi-FI cant connect automatically After adding new PCIE device and reboot
WIFI-278041,[Dell] [Compal] [TributoRPL] System occur will BSOD_INTERNAL_POWER_ERROR (a0) after do S4 stress.,WinDriver->System flows,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->System flows] [Dell] [Compal] [TributoRPL] System occur will BSOD_INTERNAL_POWER_ERROR (a0) after do S4 stress.
WIFI-357039,[ASUS/Consumer][IEC][RPL][HrP][TUF_FX507VV] Code 43 YB after lid on,TOP->FW,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=TOP->FW] [ASUS/Consumer][IEC][RPL][HrP][TUF_FX507VV] Code 43 YB after lid on
WIFI-183222,(Copy Of 00670721) [Dell_Compal_AugustaMLK_CML]WLAN (Intel AX201) disconnecting intermittently,FW->PHY,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=FW->PHY] (Copy Of 00670721) [Dell_Compal_AugustaMLK_CML]WLAN (Intel AX201) disconnecting intermittently
WIFI-114038,HP Wikus_2.4G_20M and 40M Tput,3rd Party->AP,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=3rd Party->AP] HP Wikus_2.4G_20M and 40M Tput
BT-264169,The power consumption concern of AX211 Instadock functionality,Host Windows- Driver->ibtusb,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=Host Windows- Driver->ibtusb] The power consumption concern of AX211 Instadock functionality
WIFI-128051,[Samsung][Mars15] E6 occured during longrun Test.,WinDriver->System flows,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->System flows] [Samsung][Mars15] E6 occured during longrun Test.
WIFI-565837,"[Lenovo][IdeaPad 5 2-in-1 14/16IAL10][ARL][24H2]Run warmboot occured BSOD 0xD1 point Netwaw16.sys(F/R: 16/20 by UUTs,16/2000cycles)",WinDriver->Performance,Performance,component_to_category_100pct,1.00,0.90,"[COMPONENT=WinDriver->Performance] [Lenovo][IdeaPad 5 2-in-1 14/16IAL10][ARL][24H2]Run warmboot occured BSOD 0xD1 point Netwaw16.sys(F/R: 16/20 by UUTs,16/2000cycles)"
BT-391836,[DELL][RPL] Latitude 5350  | Wi-Fi connection drop (gone from task bar) after sleep when use Trend Micro security software,Host Windows- Driver->ibtusb,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=Host Windows- Driver->ibtusb] [DELL][RPL] Latitude 5350  | Wi-Fi connection drop (gone from task bar) after sleep when use Trend Micro security software
WIFI-141446,"Dell/Compal][ADL][Odyssey][DBS test] GFP4 combination of 5G/ch36 pass, 2.4G/ch3 fail",WinDriver->Connectivity,Connectivity,component_to_category_100pct,1.00,0.90,"[COMPONENT=WinDriver->Connectivity] Dell/Compal][ADL][Odyssey][DBS test] GFP4 combination of 5G/ch36 pass, 2.4G/ch3 fail"
WIFI-477386,"[Lenovo][Huaqin][Idepad 5 2-in-1 14/16AIL10][Intel ARL][24H2] The AX203 WiFi will show yellow bang (code 10) at S4 and WB test. (FR: 4/4 uuts, 4/10 cycles)",3rd Party-BIOS,BIOS,component_to_category_100pct,1.00,0.90,"[COMPONENT=3rd Party-BIOS] [Lenovo][Huaqin][Idepad 5 2-in-1 14/16AIL10][Intel ARL][24H2] The AX203 WiFi will show yellow bang (code 10) at S4 and WB test. (FR: 4/4 uuts, 4/10 cycles)"
WIFI-363030,"[Lenovo][Huaqin][C790_Intel][Win11][IntelAX211&AX203]WLAN BT show YB during S4 stress.FR:3/35UUTs,3/10500cycles",System->MAC,YB/Lost,component_to_category_100pct,1.00,0.90,"[COMPONENT=System->MAC] [Lenovo][Huaqin][C790_Intel][Win11][IntelAX211&AX203]WLAN BT show YB during S4 stress.FR:3/35UUTs,3/10500cycles"
WIFI-342580,[Samsung][RPL][P230908-08904] P2P with Fold5 is disconnected suddenly.,FW->Data Path,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=FW->Data Path] [Samsung][RPL][P230908-08904] P2P with Fold5 is disconnected suddenly.
WIFI-486065,[Samsung][RPL][AX211][MDE] P2P pairing failed with some input device.,WinDriver->WiFi Extensions,P2P,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->WiFi Extensions] [Samsung][RPL][AX211][MDE] P2P pairing failed with some input device.
WIFI-431441,[Samsung][LNL][FmP2] P2P pairing failure.,WinDriver->Performance,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Performance] [Samsung][LNL][FmP2] P2P pairing failure.
WIFI-318975,[MTL][BE200] GaP2 TX tput unstable or disconnection during tput test.,System->PHY,RF,component_to_category_100pct,1.00,0.90,[COMPONENT=System->PHY] [MTL][BE200] GaP2 TX tput unstable or disconnection during tput test.
WIFI-750602,[Lenovo][Kailash][PTL/BE211][25H2]wifi cannot search & connect specific AP,FW->PHY,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=FW->PHY] [Lenovo][Kailash][PTL/BE211][25H2]wifi cannot search & connect specific AP
WIFI-541859,[Lenovo][Compal][Yoga9 Refresh-32ILL10][LNL][BE201]6G band hidden SSID cant be connected.,3rd Party->AP,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=3rd Party->AP] [Lenovo][Compal][Yoga9 Refresh-32ILL10][LNL][BE201]6G band hidden SSID cant be connected.
WIFI-141713,[Lenovo][Compal][Titan 2.0][Tiger Lake][Intel AX201][Win10][100%],3rd Party->AP,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=3rd Party->AP] [Lenovo][Compal][Titan 2.0][Tiger Lake][Intel AX201][Win10][100%]
BT-302284,"[Lenovo][IdeaPad 5 2-in-1 14/16IAL10][ARL][24H2] AX203 WIFI will show YB(error code:10) when running CB/S4 test.(F/R: 5/30 by UUTs, 5/3000 by cycles)",Host Windows- Driver->ibtusb,YB/Lost,component_to_category_100pct,1.00,0.90,"[COMPONENT=Host Windows- Driver->ibtusb] [Lenovo][IdeaPad 5 2-in-1 14/16IAL10][ARL][24H2] AX203 WIFI will show YB(error code:10) when running CB/S4 test.(F/R: 5/30 by UUTs, 5/3000 by cycles)"
WIFI-479724,[Lenovo][Compal][Ideapad S5P/S7P][ARL][BE201] WLAN device shows YB when idle.,TOP->STEP,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=TOP->STEP] [Lenovo][Compal][Ideapad S5P/S7P][ARL][BE201] WLAN device shows YB when idle.
WIFI-207783,[Huawei][Quanta][H9HD][HookF][AX211][21H2][WLAN][805453050] The user cannot connect to any hotspot after waking up from sleep,WinDriver->Connectivity,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Connectivity] [Huawei][Quanta][H9HD][HookF][AX211][21H2][WLAN][805453050] The user cannot connect to any hotspot after waking up from sleep
WIFI-551095,[Lenovo][Aladdin][LNL SIT][BE201][Win11] System show only one network band when connect MLO enabled AP,WinDriver->Connectivity,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Connectivity] [Lenovo][Aladdin][LNL SIT][BE201][Win11] System show only one network band when connect MLO enabled AP
WIFI-247381,[MSFT Quanta][Z96_YuShan] Conducted TX spectrum flatness fail IEEE specification,System->PHY,RF,component_to_category_100pct,1.00,0.90,[COMPONENT=System->PHY] [MSFT Quanta][Z96_YuShan] Conducted TX spectrum flatness fail IEEE specification
WIFI-242638,[Lenovo-IdeaPad][ADL][SV2][S770-14pro][win11][SVT][HrP]0XD1 BSOD when codeboot,WinDriver->Performance,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Performance] [Lenovo-IdeaPad][ADL][SV2][S770-14pro][win11][SVT][HrP]0XD1 BSOD when codeboot
WIFI-495550,[Lenovo/DT BU][in-house][RPL-R][BE200][Tiny10_M90q-5]Cannot connect to 6G hide ssid AP,WinDriver->Connectivity,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Connectivity] [Lenovo/DT BU][in-house][RPL-R][BE200][Tiny10_M90q-5]Cannot connect to 6G hide ssid AP
BT-303389,[Lenovo][Aladdin][LNL SIT][BE201][Win11] BT PAN ping overnight fail,FW- PHY,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=FW- PHY] [Lenovo][Aladdin][LNL SIT][BE201][Win11] BT PAN ping overnight fail
WIFI-801012,[Lenovo-Ideapad][YOGA9P 16][PTL/BE211@1216/320Mhz][25H2] 0x9f with stress CB,WinDriver->System flows,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->System flows] [Lenovo-Ideapad][YOGA9P 16][PTL/BE211@1216/320Mhz][25H2] 0x9f with stress CB
BT-179319,[HP] - SIO2207229 - [Sparty/Goldy_MTL] Intel Tile Device is shown in hidden device of Device Manager (AX211/BE200),Host Windows- Driver->ibtusb,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=Host Windows- Driver->ibtusb] [HP] - SIO2207229 - [Sparty/Goldy_MTL] Intel Tile Device is shown in hidden device of Device Manager (AX211/BE200)
WIFI-363019,"[Lenovo_Thinkpad_China][Wistron][Blanc/Cook][Meteor][BE200]SIT1.0 SUT show BSOD(Stope code: DRIVER_POWER_STATE _FAILURE) during AC S4 (FR:1/15EUT,1/2610trials).",WinDriver->System flows,YB/Lost,component_to_category_100pct,1.00,0.90,"[COMPONENT=WinDriver->System flows] [Lenovo_Thinkpad_China][Wistron][Blanc/Cook][Meteor][BE200]SIT1.0 SUT show BSOD(Stope code: DRIVER_POWER_STATE _FAILURE) during AC S4 (FR:1/15EUT,1/2610trials)."
BT-266174,[HP][Wistron][24C2_Snowball WildheartOC][ARL-S][GaP2][Win11 24H2 Build 26100.1150]  BT PPAG feature error with BT driver sbhbtw106772_23.60.0.1,Host Windows- Driver->ibtusb,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=Host Windows- Driver->ibtusb] [HP][Wistron][24C2_Snowball WildheartOC][ARL-S][GaP2][Win11 24H2 Build 26100.1150]  BT PPAG feature error with BT driver sbhbtw106772_23.60.0.1
WIFI-546162,[lenovo_lnl_eiger2]BE201 BSOD 0xD1 when playing video with WhitePearl tool,WinDriver->Connectivity,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Connectivity] [lenovo_lnl_eiger2]BE201 BSOD 0xD1 when playing video with WhitePearl tool
BT-295619,[lenovo_lnl_alloy] Intel BE201 QS Connected Bluetooth mouse device stopped working and can not be used during MS then resumed when normal use.,FW- Protocol -> ACL_BR_EDR,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=FW- Protocol -> ACL_BR_EDR] [lenovo_lnl_alloy] Intel BE201 QS Connected Bluetooth mouse device stopped working and can not be used during MS then resumed when normal use.
BT-297451,[lenovo_lnl_alloy] Intel BE201 QS Bluetooth device was lost when the system entered MS. Fail rate:1/8 times.,FW- Transport,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=FW- Transport] [lenovo_lnl_alloy] Intel BE201 QS Bluetooth device was lost when the system entered MS. Fail rate:1/8 times.
WIFI-156021,[HP/SIO2005266/Win11/GfP4/Dashiell] WLAN driver lost in DM after online video overnight with BT mouse connected,FW->PHY,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=FW->PHY] [HP/SIO2005266/Win11/GfP4/Dashiell] WLAN driver lost in DM after online video overnight with BT mouse connected
WIFI-144550,[Dell/Compal]SP14 MLK AX211 6E t-put easy disconnect,FW->Data Path,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=FW->Data Path] [Dell/Compal]SP14 MLK AX211 6E t-put easy disconnect
WIFI-520713,[Lenovo_IdeaPad][Wenchang][LCFC][LNL][SIT][24H2][BE201]WRT tool show WLAN error code 5002 with 04444 assert,FW->PHY,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=FW->PHY] [Lenovo_IdeaPad][Wenchang][LCFC][LNL][SIT][24H2][BE201]WRT tool show WLAN error code 5002 with 04444 assert
WIFI-374363,[Honor][Huaqin][DarwinA][Intel MTL][Intel AX201][WiFi][22H2]The BSOD(0xd1) occuered when reboot(2/3 units),WinDriver->Performance,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Performance] [Honor][Huaqin][DarwinA][Intel MTL][Intel AX201][WiFi][22H2]The BSOD(0xd1) occuered when reboot(2/3 units)
WIFI-222188,[Dynabook][Compal][Syrah10][ADL][Win11] Intel AX201 WLAN shows YB after connect WLAN AP around 15m.,WinDriver->Performance,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Performance] [Dynabook][Compal][Syrah10][ADL][Win11] Intel AX201 WLAN shows YB after connect WLAN AP around 15m.
WIFI-116864,[Dell]TyP2 6GHz output power change on conductive test (3/19 and 4/16),FW->PHY,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=FW->PHY] [Dell]TyP2 6GHz output power change on conductive test (3/19 and 4/16)
WIFI-379265,[Dell][Wistron][RPL S Refresh]show BSOD when EEUpdate to update mac,WinDriver->Connectivity,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Connectivity] [Dell][Wistron][RPL S Refresh]show BSOD when EEUpdate to update mac
BT-369090,"[HP][Deso & Esa][PTL]the Bluetooth driver displays ""yellow bang""",Host Windows- Driver->PCIe,YB/Lost,component_to_category_100pct,1.00,0.90,"[COMPONENT=Host Windows- Driver->PCIe] [HP][Deso & Esa][PTL]the Bluetooth driver displays ""yellow bang"""
WIFI-351150,[Acer][Quanta][RPL-R][WiFi7 BE200] The computer cant find any network when idle or open camera over night[FR:3/12units],FW->Data Path,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=FW->Data Path] [Acer][Quanta][RPL-R][WiFi7 BE200] The computer cant find any network when idle or open camera over night[FR:3/12units]
WIFI-425372,"[ASUS_CCBU][B5403CVA][AX2A1][23.30.0.6] After user login to OS, WIFI will gray out.",3rd Party-BIOS,BIOS,component_to_category_100pct,1.00,0.90,"[COMPONENT=3rd Party-BIOS] [ASUS_CCBU][B5403CVA][AX2A1][23.30.0.6] After user login to OS, WIFI will gray out."
WIFI-94200,"[Lenovo_IdeaPad][Compal][S560 Pro-14ITL][20H2] Unit show BSoD: 0xd1 when run CrystalDiskMark.(F/R:1/2,1/4)",WinDriver->System flows,YB/Lost,component_to_category_100pct,1.00,0.90,"[COMPONENT=WinDriver->System flows] [Lenovo_IdeaPad][Compal][S560 Pro-14ITL][20H2] Unit show BSoD: 0xd1 when run CrystalDiskMark.(F/R:1/2,1/4)"
WIFI-343107,[Lenovo_IdeaPad_CSLP][TB 16p Gen5][LCFC][FVT][Windows11] Intel Wirless (AX211):Device manager show Wlan/BT YB from MS/S4.,System->MAC,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=System->MAC] [Lenovo_IdeaPad_CSLP][TB 16p Gen5][LCFC][FVT][Windows11] Intel Wirless (AX211):Device manager show Wlan/BT YB from MS/S4.
WIFI-382310,[Lenovo_IdeaPad_CSLP][QuZhou 6D][LCFC][SS][S590-MTL][Windows11]WLAN shwo YB when  connecting AP,System->PHY,RF,component_to_category_100pct,1.00,0.90,[COMPONENT=System->PHY] [Lenovo_IdeaPad_CSLP][QuZhou 6D][LCFC][SS][S590-MTL][Windows11]WLAN shwo YB when  connecting AP
WIFI-326866,[Lenovo_IdeaPad_CSLP][QuZhou 6D][EVQS C0][LCFC][FVT3]Stress_MS_The HW drips show 0%,System->MAC,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=System->MAC] [Lenovo_IdeaPad_CSLP][QuZhou 6D][EVQS C0][LCFC][FVT3]Stress_MS_The HW drips show 0%
WIFI-510387,[Lenovo_arlh_Blanc2][ARL-H][FmP2]no AP in the scan list under Wi-Fi UEFI mode,UEFIDriver,UEFI,component_to_category_100pct,1.00,0.90,[COMPONENT=UEFIDriver] [Lenovo_arlh_Blanc2][ARL-H][FmP2]no AP in the scan list under Wi-Fi UEFI mode
WIFI-562968,[lenovo_arlh_eiger2]BE201 device YB after S4 resume,System->MAC,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=System->MAC] [lenovo_arlh_eiger2]BE201 device YB after S4 resume
WIFI-109314,[Huawei][Quanta][BohrM]/NobelM[Lucienne][AX200][20H2][WiFi] BSOD 0x7F(Netwtw10.sys).(Copy Of 00584040) [Huawei][Quanta][BohrM]/NobelM[Lucienne][AX200][20H2][WiFi] BSOD 0x7F(Netwtw10.sys).,WinDriver->Connectivity,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Connectivity] [Huawei][Quanta][BohrM]/NobelM[Lucienne][AX200][20H2][WiFi] BSOD 0x7F(Netwtw10.sys).(Copy Of 00584040) [Huawei][Quanta][BohrM]/NobelM[Lucienne][AX200][20H2][WiFi] BSOD 0x7F(Netwtw10.sys).
WIFI-796164,[Lenovo][Kailash][PTL/BE211@1216/320Mhz][25H2]wifi easy to disconnect when doing MS test,FW->MVM,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=FW->MVM] [Lenovo][Kailash][PTL/BE211@1216/320Mhz][25H2]wifi easy to disconnect when doing MS test
BT-322452,Bluetooth lost,FW- Protocol -> ACL_LE,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=FW- Protocol -> ACL_LE] Bluetooth lost
WIFI-513454,[WiFi]Roaming from an AP with strong signal to an AP with weak signal,FW->PHY,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=FW->PHY] [WiFi]Roaming from an AP with strong signal to an AP with weak signal
WIFI-243534,[HUAWEI][Wingtech][DiracR][ADL-M][AX201[WiFi][22H2] BSOD (0x7e)The dump points to the WLAN,WinDriver->System flows,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->System flows] [HUAWEI][Wingtech][DiracR][ADL-M][AX201[WiFi][22H2] BSOD (0x7e)The dump points to the WLAN
WIFI-350935,[Samsung][MTL GaP2]DRTU Error for specific DRTU Command line,FW->Data Path,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=FW->Data Path] [Samsung][MTL GaP2]DRTU Error for specific DRTU Command line
WIFI-102802,[Lenovo ThinkPad JP][LCFC][X390T490 P73][CML WHL][9560 AX201AX200]It will occur BSOD during change the Wireless Mode on TP-Link XDR3020 with 22.30.0.11,WinDriver->Connectivity,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Connectivity] [Lenovo ThinkPad JP][LCFC][X390T490 P73][CML WHL][9560 AX201AX200]It will occur BSOD during change the Wireless Mode on TP-Link XDR3020 with 22.30.0.11
BT-300418,"[Lenovo_IdeaPad][Tianzhu 16][LCFC][SVT][24H2]BT device show YB after resume from WB/MS, FR: 4/351Units",Host Windows- Driver->ibtusb,YB/Lost,component_to_category_100pct,1.00,0.90,"[COMPONENT=Host Windows- Driver->ibtusb] [Lenovo_IdeaPad][Tianzhu 16][LCFC][SVT][24H2]BT device show YB after resume from WB/MS, FR: 4/351Units"
WIFI-230886,MSFT Pegatron][BirchBay] The Canada OTP values in v22.150 of DRTU exceed Maximum output power from Canada 6E certification of  AX211 module report,FW->PHY,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=FW->PHY] MSFT Pegatron][BirchBay] The Canada OTP values in v22.150 of DRTU exceed Maximum output power from Canada 6E certification of  AX211 module report
WIFI-401195,intel(AX211/BE200) RSSI test fail,ANT,OEM Tools,component_to_category_100pct,1.00,0.90,[COMPONENT=ANT] intel(AX211/BE200) RSSI test fail
WIFI-822445,[Honor][LUX][NvwaC][RPL][AX211][WiFi] The BSOD(0x7E) occur  point to netwtw.sys when disable/enable WiFi stress test under igh load conditions on the CPU and SSD,WinDriver->System flows,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->System flows] [Honor][LUX][NvwaC][RPL][AX211][WiFi] The BSOD(0x7E) occur  point to netwtw.sys when disable/enable WiFi stress test under igh load conditions on the CPU and SSD
WIFI-856348,[NVL-S platform] BE211 WIFI PLDR feature fail - fail rate 100%,3rd Party-BIOS,BIOS,component_to_category_100pct,1.00,0.90,[COMPONENT=3rd Party-BIOS] [NVL-S platform] BE211 WIFI PLDR feature fail - fail rate 100%
WIFI-784351,[PTL][WhP2] CITU marginal test analysis (FM232 DVT1.5),TOP->FSEQ,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=TOP->FSEQ] [PTL][WhP2] CITU marginal test analysis (FM232 DVT1.5)
WIFI-115705,[Huawei][Wingtech][Dirac][Intel Tiger Lake UP4][AX201][20H1] [WLAN]System is doing on/off WIFI 2.4 hotspot test occur BSOD 0xd1 point to wdiwifi.sys,WinDriver->Performance,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Performance] [Huawei][Wingtech][Dirac][Intel Tiger Lake UP4][AX201][20H1] [WLAN]System is doing on/off WIFI 2.4 hotspot test occur BSOD 0xd1 point to wdiwifi.sys
WIFI-163292,Internal error occurs in the Event Viewer when connecting to a specific AP,FW->PHY,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=FW->PHY] Internal error occurs in the Event Viewer when connecting to a specific AP
WIFI-519075,[Samsung][Huaqin][Titan4][RPL-R]File transfer interrupt by Quick share app,WinDriver->WiFi Extensions,P2P,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->WiFi Extensions] [Samsung][Huaqin][Titan4][RPL-R]File transfer interrupt by Quick share app
BT-297374,"[Lenovo_IdeaPad][Wenchang][LCFC][LNL][SIT][24H2][BE201] BT Lost when idle after normal use.(F/R: 2/2units, 2/4cycles)",FW- PHY,Performance,component_to_category_100pct,1.00,0.90,"[COMPONENT=FW- PHY] [Lenovo_IdeaPad][Wenchang][LCFC][LNL][SIT][24H2][BE201] BT Lost when idle after normal use.(F/R: 2/2units, 2/4cycles)"
WIFI-116367,[ASUS PCBU][X712JA][ICL][AX201][22.10.0.7] WLAN yellow bang while playing online audio streaming,System->MAC,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=System->MAC] [ASUS PCBU][X712JA][ICL][AX201][22.10.0.7] WLAN yellow bang while playing online audio streaming
WIFI-189393,[Huawei][Wingtech][CurieM][AMD Cezanne][AX200][21H2]PC WLAN connections were unstable and frequently disconnected reconnections,3rd Party->AP,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=3rd Party->AP] [Huawei][Wingtech][CurieM][AMD Cezanne][AX200][21H2]PC WLAN connections were unstable and frequently disconnected reconnections
WIFI-127249,"[Huawei][Wingtech][CurieM][AMD Cezanne][AX200][20H2]WIFi6 2.4G test Rx, WiFi speed cannot recover after BT",FW->Data Path,YB/Lost,component_to_category_100pct,1.00,0.90,"[COMPONENT=FW->Data Path] [Huawei][Wingtech][CurieM][AMD Cezanne][AX200][20H2]WIFi6 2.4G test Rx, WiFi speed cannot recover after BT"
WIFI-127727,[Huawei][Quanta][EulerD][TGL-UP4][AX201][20H2][WLAN][BUG-20210531-27093]Cannot connect UTT router(??750W).,3rd Party->AP,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=3rd Party->AP] [Huawei][Quanta][EulerD][TGL-UP4][AX201][20H2][WLAN][BUG-20210531-27093]Cannot connect UTT router(??750W).
