Issue key,project,year,category,Custom field (Root Cause)
WIFI-373148,WIFI,2024,Connectivity,"The version in log contains FSEQ3.90. there was a fix in FSEQ version 3.91 for this issue, it might assist in your case. TOP-2421"
WIFI-370428,WIFI,2023,Connectivity,Dup of WIFI-345845
WIFI-370020,WIFI,2024,Connectivity,Has been delivered as HF to DELL
WIFI-369891,WIFI,2024,BSOD,"fixed by Ohad: 555bb3d1494d00a947277e70065f2a9764e622b2
though not proven that flow really runs as expected, customer did confirm that issue is fixed using latest master build. I would guess that it is some indirect fix, however, for the sake of completeness, this sha1 has a potential fix for 0xbadbad issues."
WIFI-368602,WIFI,2023,Connectivity,"Fixed by Lomanov:
5cb81ff25d2659bd12730061055f4a66ff9de9e7
64138927d5c51a80fd5560eb45b425189a91f8bf 
CTDP/DPTF Get/Set API handling: introduce dynamically allocated DPTF handler
data"
WIFI-368194,WIFI,2023,Connectivity,Improve SW/HW DRIPS in CS by decreasing idle timeout
WIFI-368122,WIFI,2023,Connectivity,a register in SV drop was misconfigured
WIFI-367755,WIFI,2023,Connectivity,"In this bug, we received from the AP NDPA with partial BW that its
RU end index belongs to BW 160 (value was 73), but the NDP BW is 80MHz.
This cause incorrect feedback calculation in the BFE.

Added a check for this purpose which return error status in case of
mismatch, and don't move forward for the feedback sending.
Check was added for both HE and EHT fields."
WIFI-365608,WIFI,2023,Connectivity,"DPHY setting according to SNPS spec + remove Spur mitigation.
HF for Lenovo Only - 23.30.2.1
**** Branch ****"
WIFI-365172,WIFI,2023,Connectivity,WIFI-358207
WIFI-364960,WIFI,2023,Connectivity,Silent losing
WIFI-364767,WIFI,2023,Connectivity,PHY fix. Tx DFE fix for 320M channels.  Clk diff between digital (top pll) to LO clk caused timing drift in long packets.  
WIFI-363422,WIFI,2023,Connectivity,
WIFI-361913,WIFI,2023,Connectivity,handle coex protection window even if BT not alive
WIFI-361708,WIFI,2023,Connectivity,"RFDQ allocation failure 
was fixed in the context of WIFI-342961"
WIFI-361696,WIFI,2023,Connectivity,
WIFI-361367,WIFI,2023,Connectivity,duplicate of WIFI-350543
WIFI-361107,WIFI,2023,Connectivity,"sensingManagerRfKill and sensingManagerSetChSelTriggerOnMcc in Typhoon should be located in ""D3 and Steady"" section"
WIFI-360472,WIFI,2023,Connectivity,"Fix with TOP-2991 on master/Core86_pv/Core86
core86_pv 4990ffef11fcfeb4b60d83f6a76ef17be4e10bc6
core86 - 037a741ced5fed16b371b3034e11e1730ccfa11e"
WIFI-358645,WIFI,2023,Connectivity,"fixed as part of : https://jira.idoc.intel.com/browse/TOP-1314
MTL C step should not see this issue anymore.
there was a WA in the FSEQ, which was removed when HW change was applied"
WIFI-358355,WIFI,2023,Performance,"PowerSensor used to be initialized by a 5ms timer that was
started as part of platformInitAPI...powerSensorContextInitAPI.
The initialization was using pMmacFlowProcessor that gets initialized
mmacAlMpInitialize - after platformInitAPI.
If the init flow is slow, then the timer will expire before
mmacAlMpInitialize is called and we'll hit null pointer exception.
Fix was to move the timer start to platformConfigAPI, after
mmacAlMpInitialize."
WIFI-358354,WIFI,2023,Connectivity,update EU 6E power tables
WIFI-358207,WIFI,2023,BSOD,"During execution, the mCtdpGetCurrentTemperatureApi stores provided callback arguments in CTDP context. Since this API relies on the FW response to get the current temperature from FW, this response may take time (as in this case - JS is busy). So when the next caller calls this API, it replaces the previously stored callback's arguments with its own. And that's what happened here. 
When the response started executing and working with the context, the memory that CTDP context is pointing to was already released by the next caller because of failure in sending FW command (transport layer was closed already). And this caused to the BSOD."
WIFI-357703,WIFI,2023,Connectivity,PHY fix. Tx DFE fix for 320M channels.  Clk diff between digital (top pll) to LO clk caused timing drift in long packets.  
WIFI-357574,WIFI,2023,Connectivity,"there were 2 issues
1. driver used old values of rssi if antenna was not used (siso)
2. bug in rlc in FW, if the rlc configuration arrived from driver is dsmps
we trigger timer that will change the state after 1 second
if during this second arriving new configuration (mimo for example)
we handle the change immediately, and when timer for dsmps expires we change the state to dsmps
although the last configuration was mimo"
WIFI-357039,WIFI,2023,BSOD,"Fixed by Ariel Dahan: FSEQ
FW sha1: 7f8a096cea9a7f28040a042caf6c41d5e15f2970

YB + Assert 0x515/ 0x91 came from DPHY SNPS IP which is part of MgR/ BzR/ ScP HW.
This issue occurred during periodic Deskew calibration process as a result of jitter on the Tx lane.
This jitter cause a phase jump and moved the clock samples to be out of the eye range.
In order to solve this issue, a SNPS HW feature was activated (Fjump) which monitor the phase during deskew calibration and correct it when needed.
"
WIFI-356402,WIFI,2023,Connectivity,
WIFI-355232,WIFI,2023,Connectivity,There was a racing between device disable flow and the thread that push notifications to the application.
WIFI-354876,WIFI,2023,Connectivity,"fixed by Zohar: 64ee5cd7d30d1eb85cc9128ae12070400df3f08e
fix wrong initialization of virtual RBs.
Fix initialization of bFree and index of virtual RBs.
The wrong init caused an issue that virutals RBs would never be returned to the virtual RBs pool and will be returned to operational free Q.
this can cause RBs to be run over and other strange issues."
WIFI-354875,WIFI,2023,Connectivity,Disabled the MAC option to work with XTAL. Irrelevant for HrP
WIFI-352594,WIFI,2023,Connectivity,"deliver WA to force SCU wake during FW disabled.
this will make sure the SCU will not get to sleep state and will be able to function correctly on the expanse of power consumption"
WIFI-352121,WIFI,2023,Connectivity,"At the time when DCR-880 was implemented, apparently it was tested in a way that didn't involve OID_WIFI_GEO_OFFSET_CONFIG_VER_1 or OID_WIFI_GEO_OFFSET_CONFIG, or that did involve these OIDs but didn't test specifying 4 to 8 SAR offset groups."
WIFI-351864,WIFI,2023,Connectivity,"In case of GO and the P2P device used BW signaling (addr2 is mcast), the RCM filtered out the frame."
WIFI-351836,WIFI,2023,Connectivity,"when we connected in 40Mhz BW and there are continuous cca_ex defers
there is mechanism that if defers timer (3.8 sec) expires, Lmac triggers roaming notification to driver
and driver performs roaming to 20Mhz
But if dp monitor timer started, and cca_ex defers started after 2 seconds (for example)
the dp mon timer will expire before defers timer, and then we will recevie 4424 or 4433 assert
so the decision was to extend dp mon timer if we see continuous cca_ex defers"
WIFI-351262,WIFI,2023,Connectivity,"MLD stealth APs had double entry in BSS table, which caused double ref count reduction the pApCommon info buffer
"
WIFI-351259,WIFI,2023,Connectivity,"Fixed by Anton: 23e3d73df58e9497c46ca0a50cdf6174c1c257af
WA for JS stall on halt flow due to WI delay for multiple minutes
In case of CPU / MEM aggressor (like Prime95) workItem execution might be significantly delayed Effective observation over 3 min delay
In case of HALT original timeout (1 min) could take place prior to trigger job called t an execution As result Halt progressed after complete report to OS leading to access to released resources

WorkAround: Set specific halt flow to 10 min (no effective resolution in case we indeed reach the timeout)"
WIFI-351150,WIFI,2023,Connectivity,"It is HW bug that causes the DSP to be stuck till FW reinit - by sysassert or by disable/enable
It was fixed on PV1."
WIFI-350935,WIFI,2023,Connectivity,SHVAL-52402
WIFI-350549,WIFI,2023,Connectivity,RC for device loss is HW issue covered by WA in in SW allowing recovery by performing SecondaryBusReset 
WIFI-350543,WIFI,2023,Connectivity,we wan out of Tx descriptors
WIFI-350479,WIFI,2023,Connectivity,"in UHB(6Ghz) scan request command, marking short ssid in invalid location causing FW assert"
WIFI-350293,WIFI,2023,Connectivity,"DPHY deskew disables RXE, which stops CW.
Since CW is using the DSP only, we can skip the DPHY deskew while in CW."
WIFI-349945,WIFI,2023,Connectivity,"Customer layout violation , fixed by HW workaround "
WIFI-349629,WIFI,2023,Connectivity,FW indicated wrong scan req ID complete so the scan client waited too long for completion
WIFI-349389,WIFI,2023,Connectivity,"[BUGFIX]  Coex: Fix Sync2Bt Timer Loss Sync

(-) Bug:
     Sync2Bt Timer is keep expired since in the past and prevent any LMAC other activity.

(-) Bug Description:
    Sync2BT Timer is use sync2BtRise-Timestamp in order to set the next timer expiration..
    But when the Sync2BtRise-Timestamp is in the past and not advanced for a long time
    it result with continues Sync2BtTimer expired and actually prevent any LMAC other activity

(-) Bug Scenario:
     Sync2Bt is enabled & working on timer, WiFi is on LB
     During that, WiFi is triggered Calbrations on HB which result with Phy LB Deactivate
     and Aux Phy Activate on HB. Following that on FullCoexOff we set Sync2BT Disable reason = SYNC_2_BT_BT_PROTOCOL_DIS
     Status: Sync2Bt is enabled from BT Side but since we are on HB now the Disable reason should allow all Tx but the tracking should continue.

    Then following mailbox we get to sync2BtEngineStatusUpdate() with sync2BT enabled status.
    but on _sync2BtEngineUpdatePtaInterrupts() since we ask for sync2BtEngineIsSync2BtAllowed() we disable the sync2Bt kick filter
    while the Sync2Bt machnisem (timer) is stiil working.

Bug Solution :
  (-) Remove the dependency of sync2BtEngineIsSync2BtAllowed on _sync2BtEngineUpdatePtaInterrupts.
       Following that  as long as Sync2BT is enabled the Sync2BT mechanism will keep working even when we enter to HB Phy.
       Only in case Sync2BT is disabled (by BT MBX or by CI change) the Sync2BT mechanism will disabled.
       Note - When Sync2BT mechanism is working but Phy is on Non LB (Aux\Calib) the Tx will allowed and not defered.

  (-) Disable Sync2Bt Timer & Enable Resync by Sync2Bt by ISR.
"
WIFI-348790,WIFI,2023,Connectivity,"fixed by Eilon: 1f67f7c1a234a9617e414475f0e599944616a82b
WA to fix ROM bug in MGR when using RSA.
fix is incomplete, might require additional fix from driver side, to force memory retention."
WIFI-348789,WIFI,2023,Connectivity,MAC pll off feature is not supported for HrP. disabled for all integrated HrP products
WIFI-348107,WIFI,2023,Connectivity,x
WIFI-347833,WIFI,2023,Connectivity,Change in EQ calibration to improve convergence 
WIFI-346828,WIFI,2023,Connectivity,using pointer that was referenced to null
WIFI-345845,WIFI,2023,Connectivity,"When running CITU, the wmal/wpal NMIs were still enabled (for projects which has the old phy init phases, pre-blazar family), and the fix is to disable such NMIs from Wmac code when Umac is running in ""silent mode""."
WIFI-345274,WIFI,2023,Connectivity,ignoring memory allocation failure
WIFI-344972,WIFI,2023,Connectivity,"continues TX test preventing LMAC timers interrupts, in case the test is more than 35 minutes (2^31 us), than after the test we get WDOG "
WIFI-344971,WIFI,2023,Connectivity,"Regulatory limit enforcement in PCAL for locked cards was not implemented in GaP
GMPD calibration is using the same PCAL API for its calibration process but we cannot enforce regulatory + 3dB on the calibration.
"
WIFI-342582,WIFI,2023,Connectivity,added a W/A based on Ofer's recommendation.
WIFI-342580,WIFI,2023,Connectivity,Initializing basicRatesTables member of g_macContainerDatapathData
WIFI-341472,WIFI,2023,Connectivity,"NotificationPopupProvider wasn't initialized for Dell's bootstrapper, which means that every popup in the installer would have throw an exception."
WIFI-340577,WIFI,2023,Connectivity,missed rx interrupt due to a race
WIFI-338036,WIFI,2023,Connectivity,Changed Description
WIFI-337736,WIFI,2023,Connectivity,Update osc_freq for SNPS IP
WIFI-337269,WIFI,2023,Connectivity,"Required fix :

HrP/CcP:
PP1 BE BO should be applied in MCC CA and PP3 central channels 36/38/42. (Already implemented)
MCC CA central channel 50 move from PP3 to PP1.

GfP/TyP:
PP1 BE BO should be applied in MCC CA and PP5 central channels 36/38/42. (Already implemented)
MCC CA central channel 50 move from PP5 to PP1."
WIFI-335395,WIFI,2023,Connectivity,"recently we started getting deafness/empty scan list in FmP which is caused
by consecutive plcp errors of type ""wrong byte count"" which happens when
we get 0 for rxe_bc indication, while rx vector value was ok.
this is not recovering on its own, so we will now trigger assert on it + we will gather some extra
debug data to hopefully advance with root causing of it."
WIFI-335071,WIFI,2023,Connectivity,"wrong WIFI version, need to take latest BKC."
WIFI-334418,WIFI,2023,Connectivity,"On receiving Init message from BT wifi sends Init_Response
message and but didn't clean the callbacks queue."
WIFI-334394,WIFI,2023,Connectivity,MAC pll off feature is not supported for HrP. disabled for all integrated HrP products
WIFI-333675,WIFI,2023,Connectivity,Update osc_freq for SNPS IP
WIFI-333542,WIFI,2023,Connectivity,Race with IRP handling in HECI driver and HECI connection close by WiMan.
WIFI-333524,WIFI,2023,Connectivity,"The Windows version that is used here doesn't recognize the parameter ""sysnative"" which suppose to point to system32."
WIFI-332532,WIFI,2023,Connectivity,Update osc_freq for SNPS IP
WIFI-331610,WIFI,2023,Connectivity,driver doesn't support H2E
WIFI-331588,WIFI,2023,Connectivity,"by Chigirincev, Dmitry:

When we receive data, the rate of ack/BA calculation is based on rate from RX packet
on of the parameters in the rate is antenna selection

the calculation of antenna selection in ack is based on RSSI of RX packet

In CCK there is a bug, that we first make decision of what antenna to use and only after that read rssi of rx packet from registers

In this case the RSSI in the decision is 0 for both antennas and in this case (when rssi is equal for both antennas) our algorithm takes antenna B always (not shared antenna with BT).

So the solution is to read rssi values of rx in right place, and only then make decision what antenna to use"
WIFI-331059,WIFI,2023,Connectivity,INF extension package is not getting installed when one if the extensions is missing.
WIFI-330884,WIFI,2023,Connectivity,"DTT can call `SDMC` API on non-supported NIC.
Missed check on driver side for RFIM support."
WIFI-330101,WIFI,2023,BSOD,"UEFI driver fills wrongly the lmac_id in PHY_CONTEXT_CMD in case of NIC supports CDB and the band is 6GHz. This leads to firmware 0x2B85 recoverable assert. fix it by handling CDB + UHB case and fill lmac_id correctly,"
WIFI-330099,WIFI,2023,Connectivity,"by Chigirincev, Dmitry:

When we receive data, the rate of ack/BA calculation is based on rate from RX packet
on of the parameters in the rate is antenna selection

the calculation of antenna selection in ack is based on RSSI of RX packet

In CCK there is a bug, that we first make decision of what antenna to use and only after that read rssi of rx packet from registers

In this case the RSSI in the decision is 0 for both antennas and in this case (when rssi is equal for both antennas) our algorithm takes antenna B always (not shared antenna with BT).

So the solution is to read rssi values of rx in right place, and only then make decision what antenna to use"
WIFI-329546,WIFI,2023,Connectivity,"Since PC migration doesn't call FreeLibrary for MurocApi DLL, the destructor that suppose to close PIE and PipeClient threads is not called. It's an incorrect behavior by the PC migration.
Up until 22.220, PIE and PipeClient used CreateThread API to open those threads, threads that are created using this API are closed (not gracefully) when the process is closed.
In 22.230, CreateThread API was replaced with std::async API, threads that are created by std::async must be closed before closing the process, otherwise the process will keep running.
In order to mitigate such an incorrect behavior, we changed std::async back to CreateThread."
WIFI-328926,WIFI,2023,Connectivity,"MSRPC implementation of callbacks seem to be faulty, sometimes the callbacks are getting stuck without any reason.
Reverted to the old notification polling mechanism."
WIFI-328516,WIFI,2023,Connectivity,fix binary in release 
WIFI-325395,WIFI,2023,Connectivity,change EQ values 
WIFI-323830,WIFI,2023,BSOD,UHB support was added in core79 and MaG + HrP was mistakenly marked as UHB supported which later led to the fmac 0x7026 assert which means firmware advertises less supported channels than driver (because of the additional UHB channels).
WIFI-323059,WIFI,2023,Performance,"firmware expects that driver will pass management frames on Tid=15 and UEFI driver wrongly use Tid=7.
When AP sends ADDBA Req, UEFI driver builds the ADDBA resp and pass it to firmware (Tid=7) then firmware does not handle it properly (there are different handling specifically for management frames on Tid=15) and when the connection is WPA2+11w disabled, the protected bit and CCMP header is set by the firmware on the ADDBA response (frame is sent unencrypted).
Some AP's may ignore it and we'll not experience low TpT, but other AP's may not ignore it and the block ack session will not be valid and this will lead to low TpT.
Fix it by use correctly Tid=15 for management frames."
WIFI-320974,WIFI,2023,Connectivity,"Same as WIFI-310098
TAS wrong while loop that causes it to be endless."
WIFI-320548,WIFI,2023,Connectivity,"Taking the MCS from static table, and not taking into consideration OTP limitations"
WIFI-320466,WIFI,2023,Connectivity,network address on INF
WIFI-319012,WIFI,2023,Connectivity,
WIFI-318975,WIFI,2023,Connectivity,"fixed by Lifshitz, Elad: 71ee2366f32f9b3a57dede3fd4de3890c212123e
PHY: do not set adc pll lock indication in loopback config"
WIFI-318707,WIFI,2023,Connectivity,"DCR-1009 SCU active to idle
FIXED FW was delivered to TyP xvt stream managed by PHY team"
WIFI-317378,WIFI,2023,Connectivity,
WIFI-316376,WIFI,2023,Connectivity,"HW wait event is not working well over ARC700.  Replace it w/ SW waiting

How it was found?
We see that during IPC protocol that using HW wait event, when handling
interrupt on exit from the wait, the UMAC start to behave strange and at
the end it is stuck and only PLDR resolve the issue."
WIFI-316292,WIFI,2023,Connectivity,SV script wasn't integrated to USC driver + missing definition and implementation of WREQ-225179
WIFI-315524,WIFI,2023,Connectivity,"mSAR feature is enabled for DTM. To disable it, need to send GRP_INTERNAL_SYSTEM_FEATURES_CONTROL_CMD"
WIFI-312707,WIFI,2023,Connectivity,
WIFI-312496,WIFI,2023,Connectivity,don't ignore multicast packets when calculating the rx link speed
WIFI-311191,WIFI,2023,Connectivity,SV script wasn't integrated to USC driver + missing definition and implementation of WREQ-225179
WIFI-310123,WIFI,2023,Connectivity,"Getting NDPA + NDP, VHT MU, when we are the 2nd STA to return feedback. Then getting beamformee report poll (BFRP) sent with VHT rate.
This seems to be an AP bug as it should be on legacy rate.
We fail on ppdu size comparison and we don't update the feedback rate accordingly - trying to return feedback with rate 6 Mbps (ack rate) so feedback is too long, which results in WPAL NMI. "
WIFI-310098,WIFI,2023,Connectivity,TAS code for TML implemented wrong loop over fifo mask so the loop was forever
WIFI-309847,WIFI,2023,Connectivity,"second scenario for the same bug of sys pwr req - cnvi_top is not rising in some cases wake arrive after vxtl got out of WAIT_FOR_SEQ state and MRG_SEQ go out of idle (wrong) and actually a short no needed wake occur and create a bad wake right after it. fixing the mrg_seq is needed. scu adding the cnvi_top to the wakeup vector in any case when it is missing, FW ignore  the stts in req resources status"
WIFI-309488,WIFI,2023,Connectivity,"FW sha1

797c20f3d026571a7047ee25174b022625ef1942"
WIFI-309456,WIFI,2023,BSOD,assert 0x508 due to SWCAP_TIMER_EXPIRED
WIFI-308133,WIFI,2023,Connectivity,switching to ES2 as planned
WIFI-307362,WIFI,2023,Connectivity,"Getting NDPA + NDP, VHT MU, when we are the 2nd STA to return feedback. Then getting beamformee report poll (BFRP) sent with VHT rate.
This seems to be an AP bug as it should be on legacy rate.
We fail on ppdu size comparison and we don't update the feedback rate accordingly - trying to return feedback with rate 6 Mbps (ack rate) so feedback is too long, which results in WPAL NMI. "
WIFI-306265,WIFI,2023,Connectivity,"WRT BT presets included forbidden register area
the BT related presets were updated and fixed
please test with the latest WRT tool as indicated below"
WIFI-303797,WIFI,2023,Connectivity,"TOP-1314 - WMPM CNVR top FSM deadlock, was not added for MGR.
Modified WA for MGR (details in latest comment) was added to FSEQ 3.88.
"
WIFI-303040,WIFI,2023,Connectivity,AGC table
WIFI-302568,WIFI,2023,Connectivity,Fixed in WIFI-294441
WIFI-302222,WIFI,2023,Connectivity,RDC - WMPM Reset Domain Crossing
WIFI-301735,WIFI,2023,Connectivity,"cross certification is no longer valid
need to move the machine to test mode"
WIFI-295482,WIFI,2023,BSOD,"cc51: ca0d5c43533964b034e84aa44a9e9c037269729e
Not needed for any other core (yet), seen on ThP only.

Flush PCI pipe before completing the PNP_SET_POWER task.
Fix for a race that was found on weak CPU/PCI, where
driver is writing into a CSR, however, the actual right occurs
after we complete the PNP_SET_POWER task.
This causes WHEA unrecoverable error and leading to BSOD 0x124.
Due to weak CPU, or might be a combination with multiple
PCI bridges on this platform, the actual write is not instant.

For some reason, issue was not seen on Win10, while stated appearing
on Win11 - might be different PCI error handling logic.

Deeper analysis: it was seen using PCI analyzer that after driver
is completing the PNP_SET_POWER task, OS puts the PCI in low power mode,
and no further transactions are allowed. However, then we see a memory
write TLP - our CSR write, which was obviously initiated before.

As a WA, need to “flush” the PCI, by reading from the last written CSR
before competing the task. This should ensure that all previous
transactions have completed and it is safe to put PCI into sleep."
WIFI-294189,WIFI,2023,Connectivity,"Duplicate of https://jira.idoc.intel.com/browse/WIFI-282405
Starvation of BK/BE fifos in P2P/GO scenarios causing early queue hang."
WIFI-293032,WIFI,2023,Connectivity,FmP's GEO profiles are ordered per band. GEO profile ID was parsed wrong in SAR functions
WIFI-292530,WIFI,2023,Connectivity,"in rarely cases power up resources vector is missing pwr & sys_clk req,
the issue occur while two wakeup sources arrive in specific scenario ,
in this case the trigger of second sequencer arrive while MAC in STATE_ON,
this causing the VXTL to skip the state of rising the pwr and sys clk request toward the SCU through the wmpm -> SCU channel,
the request will arrive in any case through the host VXTL to the SCU.
the suggested FW solution is adding the HOST - >SCU  (pwr,sys_clk) indication to the 4phs resources checking."
WIFI-291872,WIFI,2023,Connectivity,
WIFI-290882,WIFI,2023,Connectivity,
WIFI-290154,WIFI,2023,BSOD,"After allocating the TE_STA_AGGRESSIVE_ASSOCIATION event, we
want to use its apply time also for the TE_STA_ASSOCIATION event.

But, if the scheduler was not able to decide on an apply time
for TE_STA_AGGRESSIVE_ASSOCIATION (and will be decided later),
the apply time in TE_STA_AGGRESSIVE_ASSOCIATION event descriptor
will be zero.

Adding an event with time 0 can cause assert 0x300F (since the
event is located in the past and starts running immediately
while another event, from another binding, is already running.
This is also a bug that needs to be investigated)."
WIFI-287970,WIFI,2023,Connectivity,"https://gerritwcs.ir.intel.com/c/wifi_drv-dev/+/52756 
[BUGFIX] Return failure at EvtDeviceD0EntryPostInterruptsEnabled  on resume
to D0 in case reset recovery was requested by Driver

Description: Original issue issue if 9F post resume from D3, once PLDR requested by Driver
(WIFI-273238/WIFI-287970/...)

Following MSFT documentation, upon failure on power-up sequence stage, Driver is obligated to return failure for corresponding CB"
WIFI-287819,WIFI,2023,Connectivity,
WIFI-287055,WIFI,2023,Connectivity,"HW bug, Fast condition is not support thus results unusual behaviors"
WIFI-286819,WIFI,2023,Connectivity,"As per new Swad, Link state is no more updated with station config cmd but with Mac Config cmd. Moved the smartAntenna function which update Mac params from station config cmd handling to Mac config cmd."
WIFI-286793,WIFI,2023,BSOD,"The bug occurs with known misbehaving AP which advertises ECSA with CS-to-self
in its probe responses (not in beacons)
We saw this behavior in the past and implemented  DCR-261 (WREQ-36392) which allows us to connect to such APs
But in this setup the AP advertises operating class = 0x1a (26) while we’re in China MCC domain 0x434E (I see this in the RLG log didn’t find Country IE in AP beacons/probes)
According to the table E-6 in Annex E in the spec this operating class is invalid for China
So when we try to determine if the ECSA contains CS to self we attempt to retrieve the band by operating class + channel number, and since such operating class doesn’t exist
 in the current MCC we conclude that the CS is not CS to self, since the band is different (INVALID_BAND) though the channel number is the same
and thus we exclude such candidate and don’t connect though our competitors such as QCOM and RTEK do
The system requirement was to ignore the operating class in this specific case and assume the same band as the old one"
WIFI-286646,WIFI,2023,Connectivity,"We have an issue with Samsung where we got GON response at the  same
time we sent to FW GON confirm
This cause canceling the DAF to FW and GON confirm was never sent in this case
The solution is to check that we got the GON response with the same token we got
in the last GON response and simply discard it.(meaning not sending it to OS
and not canceling the DAF."
WIFI-284407,WIFI,2023,Connectivity,"due to Microsoft bug, memory allocation while DMAr enabled takes too long.
because we allocate all our needed buffers in init flow, the init flow duration increased.
the solution is to allocate the buffers in big memory chunks, which decrease the number of allocation dramatically -> init flow duration decreased."
WIFI-283806,WIFI,2023,Connectivity,"Issue with loading incorrect USC dll when installing the driver on QsR family HW's.

After QsR family core freeze (core74, net10) there was an issue with USC ext INF that loaded net12 USC dll instead of net10 USC dll causing mismatch issue between the USC version the driver compiled with and the USC that was installed."
WIFI-283451,WIFI,2023,Connectivity,"allocation of big memory chunks at the init flow, caused other memory allocation that have to be continues to fail.
we changed the memory allocation implementation to use a generic infra, which does not ""regret"" already allocated memory, does not re-try to alloc failed granularity, and change the alloc order, in order to allocate the buffers at the end of the flow."
WIFI-283154,WIFI,2023,BSOD,"In two places in the  hmfmCommonUpdateBssEntry() we
can return from the function without releasing the aquired lock on the
BSS table which caused BSOD"
WIFI-283151,WIFI,2023,Connectivity,Merged the WA after good feedback from client: https://gerritwcs.ir.intel.com/c/wcd_fw-dev/+/8391
WIFI-278898,WIFI,2023,Connectivity,Quasar / JfP based TICs were missing from DDD INF
WIFI-278839,WIFI,2023,Connectivity,"    [BUGFIX] mvm: don't account for the losing time of the wrong link

    When we want to look for a hole for an event, and our event is placed
    after event B, we want to make sure that we leave room for the link that
    runs event B to loose the medium properly before we run our event.
    In case of GO / BSS in SCM, we can have the following scenario:

    GO's beacon saver ends at 100
    BSS'es TBTT ends at 50

    This means that we could place an event at 101 since the losing time of
    the GO is 0, but we don't since we want to leave enough time for the
    losing for the client.

    This wouldn't be a big problem if we didn't have to re-allocate events.
    I saw in USIM the following problem:

    1) time is now 50
    2) GO / BSS in SCM, beacon of the GO is at 150, beacon of the BSS at 100
    3) Fragmented scan allocates events (50 ms long)
    4) We place one time NOA for a fragment of the scan at time 180, after
       the next beacon of the GO (because of the beacon saver)
       Note that this overrides the BSS's TBTT which is fine.
    5) the beacon saver event of the GO ends at 180 to give room for the
       scan event
    6) time passes by, we are at 100
    7) TBTT of the BSS runs and we remove the occurrence after beacon Rx
    8) Refresh
    9) we place again the the scan's fragment, but this time we place it at
       180 + BSS's losing time.
    <=== This is the bug ===>

    We just moved the fragmented scan's event, but we had a NOA that was
    placed exactly for that specific event and now the fragmented scan's
    event is unfortunate because of the beacon saver of the GO.

    We could have placed the fragmented scan's event again at 180 because
    the client already knows it needs to have left the channel by 180. But
    because we take into account the losing time of the BSS after an event
    that belongs to the GO, we delay the scan event by 4ms and it misses the
    window created by the GO's NOA.

    Fix this by looking at the losing time of the link of the specific event
    that precedes the hole, and do not consider all the events in the
    binding.
"
WIFI-278150,WIFI,2023,Connectivity,filling the scatter gather buffer wrong with the MDLs
WIFI-276319,WIFI,2023,Connectivity,"commit hash: 52ce48be2bbc2cd5e59357d52d8aea081c874f9d
b12ba8d1a1ad4e56e3426863b3fe05536450c3dc"
WIFI-276315,WIFI,2023,Connectivity,Clean NBL meta data in case of classification failure
WIFI-274576,WIFI,2022,Connectivity,"TLC command sent before PHY command for P2P client when upgrading to HE
Fixed in commit ac2964954cf6f750aeabd0699e2a4d7c4fab7128"
WIFI-274412,WIFI,2022,Connectivity,"PseudoHeSupport should be enabled in ADD MAC because FW stores HE STA's & Link's
params only if PseudoHeSupport is ON.
Meaning, in case the PPE thresholds is sent in STA command before the MAC was configured to PseudoHeSupport ON, the FW ignores the PPE thr params."
WIFI-274368,WIFI,2022,Connectivity,https://gerritwcs.ir.intel.com/c/wcd_fw-dev/+/33953
WIFI-272933,WIFI,2022,YB/Lost,"Protocol's Max TWT SP is 64TUs (65280us), (1 byte for SP in 256us units)
when BT doesn't care of the latency and request small quota and TBTT is big enough, it causes WF's SP to be bigger than max SP field. This overflow cause the multiple assert that finally cause YB.
This also reveals a faulty corner that is not related to TWT, as such scenario causes either bigger starvations to WF or to BT. 
The solution is to prevent such scenarios and not delete the assert.
"
WIFI-272412,WIFI,2022,Connectivity,"TGL platform run with quazar + JfP 1x1 card, there is no bug

ADL run with solar + JfP 1x1 and there is the bug in driver (mhiff) that didn't take bSadAlternativeAntUsed from fw meta info (rx packet)"
WIFI-270141,WIFI,2022,Connectivity,"he bug was due to a temporary workaround to DISABLE_UNII4_EU_AND_ALIKE, which was needed to be removed but was missed ."
WIFI-270139,WIFI,2022,Connectivity,The fix for the bug WIFI-251564 caused this bug.
WIFI-269893,WIFI,2022,Connectivity,"During repair mode, when using an SFX (like DUP), the installer searched for setup.xml in the DUP directory instead of the extracted installer directory."
WIFI-268398,WIFI,2022,Connectivity,"fix introducer during fuzzing run  - fixing queue tx allocation
see comment in patch"
WIFI-266055,WIFI,2022,Performance,"Bug: WiFi throughput drop when BT is enabled. Corun AGC table wasn't
properly characterized to define the gain steps accuracy
Fix: update AGC table for corun"
WIFI-264725,WIFI,2022,Connectivity,Missed setupComplete in case of SecondBiosMcc
WIFI-259929,WIFI,2022,BSOD,"Delivered by Borochov/Darzi:
7e9c1c8608ca52253e2aef4154966d307b7af5ca
[BUGFIX] phy: fill AGC table for COEX
in case of scanning HB, we clear the up entries of the AGC table,
when we return to LB, in antenna B, we filled only the first 16 entries
of the table with antenna B DB, but we didn't fill the COEX values.
This caused bad AGC values in case of COEX active, which led to
high energy measurements on the antenna (eventually led to assert 0x4444
due to TX defers).
This fix fills the COEX entries with the correct values."
WIFI-258005,WIFI,2022,Connectivity,Max delta gain table not updated for GFP4
